hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
אֲשֶׁ֣ר,H834,’ă·šer,which,Pro‑r,H834,Habakkuk,1,1
חָזָ֔ה,H2372,"ḥā·zāh,",saw,V‑Qal‑Perf‑3ms,H2372,Habakkuk,1,2
חֲבַקּ֖וּק,H2265,ḥă·ḇaq·qūq,Habakkuk,N‑proper‑ms,H2265,Habakkuk,1,3
הַנָּבִֽיא׃,H5030,han·nā·ḇî.,the prophet,Art | N‑ms,H5030,Habakkuk,1,4
אָ֧נָה,H575,’ā·nāh,long,Adv,H575,Habakkuk,1,5
יְהוָ֛ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Habakkuk,1,6
שִׁוַּ֖עְתִּי,H7768,šiw·wa‘·tî,shall I cry,V‑Piel‑Perf‑1cs,H7768,Habakkuk,1,7
וְלֹ֣א,H3808,wə·lō,and not,Conj‑w | Adv‑NegPrt,H3808,Habakkuk,1,8
תִשְׁמָ֑ע,H8085,ṯiš·mā‘;,You will hear,V‑Qal‑Imperf‑2ms,H8085,Habakkuk,1,9
אֶזְעַ֥ק,H2199,’ez·‘aq,Even cry out,V‑Qal‑Imperf‑1cs,H2199,Habakkuk,1,10
אֵלֶ֛יךָ,H413,’ê·le·ḵā,to You,Prep | 2ms,H413,Habakkuk,1,11
חָמָ֖ס,H2555,ḥā·mās,Violence,N‑ms,H2555,Habakkuk,1,12
וְלֹ֥א,H3808,wə·lō,and not,Conj‑w | Adv‑NegPrt,H3808,Habakkuk,1,13
תוֹשִֽׁיעַ׃,H3467,ṯō·wō·šî·a‘.,You will save,V‑Hifil‑Imperf‑2ms,H3467,Habakkuk,1,14
תַרְאֵ֤נִי,H7200,ṯar·’ê·nî,do You show me,V‑Hifil‑Imperf‑2ms | 1cs,H7200,Habakkuk,1,15
אָ֙וֶן֙,H205,’ā·wen,iniquity,N‑ms,H205,Habakkuk,1,16
וְעָמָ֣ל,H5999,wə·‘ā·māl,and trouble,Conj‑w | N‑ms,H5999,Habakkuk,1,17
תַּבִּ֔יט,H5027,"tab·bîṭ,",cause [me] to see,V‑Hifil‑Imperf‑2ms,H5027,Habakkuk,1,18
וְשֹׁ֥ד,H7701,wə·šōḏ,for plundering,Conj‑w | N‑ms,H7701,Habakkuk,1,19
