hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
יִגְנְב֖וּ,H1589,yiḡ·nə·ḇū,they have stolen,V‑Qal‑Imperf‑3mp,H1589,Obadiah,1,55
דַּיָּ֑ם,H1767,day·yām;,till they had enough,N‑msc | 3mp,H1767,Obadiah,1,56
אִם־,H518,’im-,if,Conj,H518,Obadiah,1,57
בֹּֽצְרִים֙,H1219,bō·ṣə·rîm,grape-gatherers,V‑Qal‑Prtcpl‑mp,H1219,Obadiah,1,58
בָּ֣אוּ,H935,bā·’ū,had come,V‑Qal‑Perf‑3cp,H935,Obadiah,1,59
הֲל֖וֹא,H3808,hă·lō·w,would not,Adv‑NegPrt,H3808,Obadiah,1,60
יַשְׁאִ֥ירוּ,H7604,yaš·’î·rū,they have left,V‑Hifil‑Imperf‑3mp,H7604,Obadiah,1,61
עֹלֵלֽוֹת׃,H5955,‘ō·lê·lō·wṯ.,[some] gleanings,N‑fp,H5955,Obadiah,1,62
נֶחְפְּשׂ֣וּ,H2664,neḥ·pə·śū,shall be searched out,V‑Nifal‑Perf‑3cp,H2664,Obadiah,1,63
עֵשָׂ֔ו,H6215,"‘ê·śāw,",Esau,N‑proper‑ms,H6215,Obadiah,1,64
נִבְע֖וּ,H1158,niḇ·‘ū,[How] shall be sought after,V‑Nifal‑Perf‑3cp,H1158,Obadiah,1,65
מַצְפֻּנָֽיו׃,H4710,maṣ·pu·nāw.,his hidden treasures,N‑fpc | 3ms,H4710,Obadiah,1,66
הַגְּב֣וּל,H1366,hag·gə·ḇūl,the border,Art | N‑ms,H1366,Obadiah,1,67
שִׁלְּח֗וּךָ,H7971,"šil·lə·ḥū·ḵā,",shall force you,V‑Piel‑Perf‑3cp | 2ms,H7971,Obadiah,1,68
כֹּ֚ל,H3605,kōl,all,N‑msc,H3605,Obadiah,1,69
אַנְשֵׁ֣י,H582,’an·šê,the men in,N‑mpc,H582,Obadiah,1,70
בְרִיתֶ֔ךָ,H1285,"ḇə·rî·ṯe·ḵā,",your confederacy,N‑fsc | 2ms,H1285,Obadiah,1,71
הִשִּׁיא֛וּךָ,H5377,hiš·šî·’ū·ḵā,shall deceive you,V‑Hifil‑Perf‑3cp | 2ms,H5377,Obadiah,1,72
יָכְל֥וּ,H3201,yā·ḵə·lū,[and] prevail,V‑Qal‑Perf‑3cp,H3201,Obadiah,1,73
אַנְשֵׁ֣י,H582,’an·šê,the men,N‑mpc,H582,Obadiah,1,74
שְׁלֹמֶ֑ךָ,H7965,šə·lō·me·ḵā;,at peace with you,N‑msc | 2ms,H7965,Obadiah,1,75
לַחְמְךָ֗,H3899,"laḥ·mə·ḵā,",[Those who eat] your bread,N‑msc | 2ms,H3899,Obadiah,1,76
יָשִׂ֤ימוּ,H7760,yā·śî·mū,shall lay,V‑Qal‑Imperf‑3mp,H7760,Obadiah,1,77
מָזוֹר֙,H4204,mā·zō·wr,a trap,N‑ms,H4204,Obadiah,1,78
תַּחְתֶּ֔יךָ,H8478,"taḥ·te·ḵā,",for you,Prep | 2ms,H8478,Obadiah,1,79
אֵ֥ין,H369,’ên,No one,Adv,H369,Obadiah,1,80
תְּבוּנָ֖ה,H8394,tə·ḇū·nāh,is aware,N‑fs,H8394,Obadiah,1,81
בַּיּ֥וֹם,H3117,bay·yō·wm,in day,"Prep‑b, Art | N‑ms",H3117,Obadiah,1,82
הַה֖וּא,H1931,ha·hū,that,Art | Pro‑3ms,H1931,Obadiah,1,83
נְאֻם־,H5002,nə·’um,says,N‑msc,H5002,Obadiah,1,84
יְהוָ֑ה,H3068,Yah·weh;,Yahweh,N‑proper‑ms,H3068,Obadiah,1,85
וְהַאֲבַדְתִּ֤י,H6,wə·ha·’ă·ḇaḏ·tî,and Even I destroy,Conj‑w | V‑Hifil‑ConjPerf‑1cs,H6,Obadiah,1,86
חֲכָמִים֙,H2450,ḥă·ḵā·mîm,the wise [men],Adj‑mp,H2450,Obadiah,1,87
מֵֽאֱד֔וֹם,H123,"mê·’ĕ·ḏō·wm,",from Edom,Prep‑m | N‑proper‑ms,H123,Obadiah,1,88
וּתְבוּנָ֖ה,H8394,ū·ṯə·ḇū·nāh,and understanding,Conj‑w | N‑fs,H8394,Obadiah,1,89
מֵהַ֥ר,H2022,mê·har,from the mountains,Prep‑m | N‑msc,H2022,Obadiah,1,90
עֵשָֽׂו׃,H6215,‘ê·śāw.,of Esau,N‑proper‑ms,H6215,Obadiah,1,91
גִבּוֹרֶ֖יךָ,H1368,ḡib·bō·w·re·ḵā,your mighty men,Adj‑mpc | 2ms,H1368,Obadiah,1,92
תֵּימָ֑ן,H8487,tê·mān;,Teman,N‑proper‑fs,H8487,Obadiah,1,93
לְמַ֧עַן,H4616,lə·ma·‘an,to the end that,Conj,H4616,Obadiah,1,94
