hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
קָדָ֔רוּ,H6937,"qā·ḏā·rū,",grow dark,V‑Qal‑Perf‑3cp,H6937,Joel,2,332,7
קָהָל֙,H6951,qā·hāl,the congregation,N‑ms,H6951,Joel,2,402,7
הָאוּלָם֙,H197,hā·’ū·lām,the porch,Art | N‑ms,H197,Joel,2,414,7
הַצְּפוֹנִ֞י,H6830,haṣ·ṣə·p̄ō·w·nî,the northern [army],Art | Adj‑ms,H6830,Joel,2,458,7
וְסֹפ֖וֹ,H5490,wə·sō·p̄ōw,and his back,Conj‑w | N‑msc | 3ms,H5490,Joel,2,471,7
צַחֲנָת֔וֹ,H6709,"ṣa·ḥă·nā·ṯōw,",his foul odor,N‑fsc | 3ms,H6709,Joel,2,478,7
דָשְׁא֖וּ,H1876,ḏā·šə·’ū,are springing up,V‑Qal‑Perf‑3cp,H1876,Joel,2,494,7
הַמּוֹרֶ֖ה,H4175,ham·mō·w·reh,the former rain,Art | N‑ms,H4175,Joel,2,513,7
וּמַלְק֖וֹשׁ,H4456,ū·mal·qō·wōš,and the latter rain,Conj‑w | N‑ms,H4456,Joel,2,518,7
בָּ֑ר,H1250,bār;,wheat,N‑ms,H1250,Joel,2,521,7
וְהֵשִׁ֥יקוּ,H7783,wə·hê·šî·qū,and shall overflow,Conj‑w | V‑Hifil‑ConjPerf‑3cp,H7783,Joel,2,522,7
וְנִבְּא֖וּ,H5012,wə·nib·bə·’ū,and shall prophesy,Conj‑w | V‑Nifal‑ConjPerf‑3cp,H5012,Joel,2,574,7
וְתִֽימֲר֖וֹת,H8490,wə·ṯî·mă·rō·wṯ,and pillars,Conj‑w | N‑fpc,H8490,Joel,2,597,7
יְהֽוֹשָׁפָ֑ט,H3092,yə·hō·wō·šā·p̄āṭ;,of Jehoshaphat,N‑proper‑ms,H3092,Joel,3,645,7
פִּזְּר֣וּ,H6340,piz·zə·rū,they have scattered,V‑Piel‑Perf‑3cp,H6340,Joel,3,654,7
וְהַיַּלְדָּ֛ה,H3207,wə·hay·yal·dāh,and a girl,"Conj‑w, Art | N‑fs",H3207,Joel,3,665,7
גְּלִיל֣וֹת,H1552,gə·lî·lō·wṯ,the coasts,N‑fpc,H1552,Joel,3,674,7
הַיְּוָנִ֑ים,H3125,hay·yə·wā·nîm;,the Greeks,Art | N‑proper‑mp,H3125,Joel,3,701,7
לִשְׁבָאיִ֖ם,H7615,liš·ḇā·yim,to the Sabeans,Prep‑l | N‑proper‑mp,H7615,Joel,3,724,7
לִרְמָחִ֑ים,H7420,lir·mā·ḥîm;,into spears,Prep‑l | N‑mp,H7420,Joel,3,745,7
הַֽחַלָּ֔שׁ,H2523,"ha·ḥal·lāš,",the weak,Art | Adj‑ms,H2523,Joel,3,746,7
הַֽנְחַ֥ת,H5181,han·ḥaṯ,Cause to go down,V‑Hifil‑Imp‑ms,H5181,Joel,3,756,7
מַגָּ֔ל,H4038,"mag·gāl,",in the sickle,N‑ms,H4038,Joel,3,772,7
בָשַׁ֖ל,H1310,ḇā·šal,is ripe,V‑Qal‑Perf‑3ms,H1310,Joel,3,774,7
יִטְּפ֧וּ,H5197,yiṭ·ṭə·p̄ū,[That] shall drip,V‑Qal‑Imperf‑3mp,H5197,Joel,3,831,7
הַשִּׁטִּֽים׃,H7851,haš·šiṭ·ṭîm.,of Acacias,Art | N‑proper‑fs,H7851,Joel,3,849,7
