hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יְשׁוּפֵ֑נִי,H7779,yə·šū·p̄ê·nî;,He crushes me,V‑Qal‑Imperf‑3ms | 1cs,H7779,Job,9,1552,32
מַמְּרֹרִֽים׃,H4472,mam·mə·rō·rîm.,with bitterness,N‑mp,H4472,Job,9,1561,32
אֵבֶ֑ה,H16,’ê·ḇeh;,papyrus,N‑ms,H16,Job,9,1615,32
יָט֥וּשׂ,H2907,yā·ṭūś,swooping,V‑Qal‑Imperf‑3ms,H2907,Job,9,1617,32
וְאַבְלִֽיגָה׃,H1082,wə·’aḇ·lî·ḡāh.,and wear a smile,Conj‑w | V‑Hifil‑ConjImperf.Cohort‑1cs,H1082,Job,9,1625,32
וַ֝הֲזִכּ֗וֹתִי,H2141,"wa·hă·zik·kō·w·ṯî,",and cleanse,Conj‑w | V‑Hifil‑ConjPerf‑1cs,H2141,Job,9,1639,32
בְּבֹ֣ר,H1253,bə·ḇōr,with soap,Prep‑b | N‑ms,H1253,Job,9,1640,32
וְ֝כַגְּבִנָּ֗ה,H1385,"wə·ḵag·gə·ḇin·nāh,",and like cheese,"Conj‑w, Prep‑k, Art | N‑fs",H1385,Job,10,1734,32
אַלְלַ֬י,H480,’al·lay,woe,Interjection,H480,Job,10,1759,32
סְדָרִ֗ים,H5468,"sə·ḏā·rîm,",any order,N‑mp,H5468,Job,10,1811,32
תַּֽעֲלֻמ֣וֹת,H8587,ta·‘ă·lu·mō·wṯ,the secrets,N‑fpc,H8587,Job,11,1842,32
חָ֑לֶד,H2465,ḥā·leḏ;,[your] life,N‑ms,H2465,Job,11,1918,32
מַֽפַּח־,H4646,map·paḥ-,loss,N‑msc,H4646,Job,11,1939,32
לְעַשְׁתּ֣וּת,H6248,lə·‘aš·tūṯ,in the thought,Prep‑l | N‑fsc,H6248,Job,12,1969,32
וּֽ֭בַטֻּחוֹת,H987,ū·ḇaṭ·ṭu·ḥō·wṯ,and are secure,Conj‑w | N‑fp,H987,Job,12,1976,32
טֹֽפְלֵי־,H2950,ṭō·p̄ə·lê-,forgers,V‑Qal‑Prtcpl‑mpc,H2950,Job,13,2115,32
יִ֭קְטְלֵנִי,H6991,yiq·ṭə·lê·nî,He slay me,V‑Qal‑Imperf‑3ms | 1cs,H6991,Job,13,2175,32
וְ֝אַֽחֲוָתִ֗י,H262,"wə·’a·ḥă·wā·ṯî,",and to my declaration,Conj‑w | N‑fsc | 1cs,H262,Job,13,2192,32
בַּסַּ֨ד ׀,H5465,bas·saḏ,in the stocks,"Prep‑b, Art | N‑ms",H5465,Job,13,2247,32
וַיִּמָּ֑ל,H5243,way·yim·māl;,and fades away,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5243,Job,14,2268,32
שָׁ֥חֲקוּ,H7833,šā·ḥă·qū,wears away,V‑Qal‑Perf‑3cp,H7833,Job,14,2388,32
שִׂ֝יחָ֗ה,H7881,"·ḥāh,",prayer,N‑fs,H7881,Job,15,2433,32
יָשִׁ֣ישׁ,H3453,yā·šîš,the aged,Adj‑ms,H3453,Job,15,2466,32
יִּרְזְמ֥וּן,H7335,yir·zə·mūn,do wink at,V‑Qal‑Imperf‑3mp | Pn,H7335,Job,15,2479,32
וְֽנֶאֱלָ֑ח,H444,wə·ne·’ĕ·lāḥ;,and filthy,Conj‑w | V‑Nifal‑Prtcpl‑ms,H444,Job,15,2504,32
לַכִּידֽוֹר׃,H3593,lak·kî·ḏō·wr.,for battle,"Prep‑l, Art | N‑ms",H3593,Job,15,2560,32
פִּימָ֣ה,H6371,pî·māh,heavy with fat,N‑fs,H6371,Job,15,2577,32
מִנְלָֽם׃,H4512,min·lām.,his possessions,N‑msc | 3mp,H4512,Job,15,2595,32
בִּסְר֑וֹ,H1154,bis·rōw;,his unripe grape,N‑msc | 3ms,H1154,Job,15,2618,32
וְנִ֖יד,H5205,wə·nîḏ,and the comfort,Conj‑w | N‑msc,H5205,Job,16,2665,32
וַֽיִּשְׂטְמֵ֗נִי,H7852,"way·yiś·ṭə·mê·nî,",and hates me,Conj‑w | V‑Qal‑ConsecImperf‑3ms | 1cs,H7852,Job,16,2688,32
עֲוִ֑יל,H5760,‘ă·wîl;,the ungodly,N‑ms,H5760,Job,16,2705,32
יִרְטֵֽנִי׃,H3399,yir·ṭê·nî.,turned me over,V‑Qal‑Imperf‑3ms | 1cs,H3399,Job,16,2709,32
מְרֵרָֽתִי׃,H4845,mə·rê·rā·ṯî.,my gall,N‑fsc | 1cs,H4845,Job,16,2725,32
גִלְדִּ֑י,H1539,ḡil·dî;,my skin,N‑msc | 1cs,H1539,Job,16,2735,32
וְ֝שָׂהֲדִ֗י,H7717,"wə·śā·hă·ḏî,",and my evidence [is],Conj‑w | N‑msc | 1cs,H7717,Job,16,2761,32
נִזְעָ֗כוּ,H2193,"niz·‘ā·ḵū,",are extinguished,V‑Nifal‑Perf‑3cp,H2193,Job,17,2783,32
הֲ֭תֻלִים,H2049,hă·ṯu·lîm,[Are] mockers,N‑mp,H2049,Job,17,2786,32
לִמְשֹׁ֣ל,H4914,lim·šōl,a byword,Prep‑l | V‑Qal‑Inf,H4914,Job,17,2810,32
וְתֹ֖פֶת,H8611,wə·ṯō·p̄eṯ,and [men] spit,Conj‑w | N‑fs,H8611,Job,17,2812,32
