Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Γόμορρα,Gomorrah,N-NFS,G1116,Jude 1,108,11
αἱ,the,Art-NFP,G3588,Jude 1,109,11
αὐτὰς,them,PPro-AF3P,G846,Jude 1,110,11
πόλεις,cities,N-NFP,G4172,Jude 1,111,11
ὅμοιον,in like,Adj-AMS,G3664,Jude 1,112,11
τρόπον,manner,N-AMS,G5158,Jude 1,113,11
τούτοις,with them,DPro-DMP,G3778,Jude 1,114,11
ἐκπορνεύσασαι,having indulged in sexual immorality,V-APA-NFP,G1608,Jude 1,115,11
ἀπελθοῦσαι,having gone,V-APA-NFP,G565,Jude 1,116,11
ὀπίσω,after,Prep,G3694,Jude 1,117,11
σαρκὸς,flesh,N-GFS,G4561,Jude 1,118,11
ἑτέρας,strange,Adj-GFS,G2087,Jude 1,119,11
πρόκεινται,are set forth as,V-PIM/P-3P,G4295,Jude 1,120,11
δεῖγμα,an example,N-ANS,G1164,Jude 1,121,11
πυρὸς,of fire,N-GNS,G4442,Jude 1,122,11
αἰωνίου,eternal,Adj-GNS,G166,Jude 1,123,11
δίκην,the penalty,N-AFS,G1349,Jude 1,124,11
ὑπέχουσαι,undergoing,V-PPA-NFP,G5254,Jude 1,125,11
Ὁμοίως,Likewise,Adv,G3668,Jude 1,126,11
μέντοι,yet,Conj,G3305,Jude 1,127,11
οὗτοι,these,DPro-NMP,G3778,Jude 1,128,11
ἐνυπνιαζόμενοι,dreaming ones,V-PPM/P-NMP,G1797,Jude 1,129,11
σάρκα,the flesh,N-AFS,G4561,Jude 1,130,11
μὲν,indeed,Conj,G3303,Jude 1,131,11
μιαίνουσιν,defile,V-PIA-3P,G3392,Jude 1,132,11
κυριότητα,authority,N-AFS,G2963,Jude 1,133,11
ἀθετοῦσιν,set aside,V-PIA-3P,G114,Jude 1,134,11
δόξας,glorious ones,N-AFP,G1391,Jude 1,135,11
βλασφημοῦσιν,blaspheme,V-PIA-3P,G987,Jude 1,136,11
ὁ,-,Art-NMS,G3588,Jude 1,137,11
Μιχαὴλ,Michael,N-NMS,G3413,Jude 1,138,11
ἀρχάγγελος,archangel,N-NMS,G743,Jude 1,139,11
ὅτε,when,Adv,G3753,Jude 1,140,11
τῷ,with the,Art-DMS,G3588,Jude 1,141,11
διαβόλῳ,devil,Adj-DMS,G1228,Jude 1,142,11
διακρινόμενος,disputing,V-PPM-NMS,G1252,Jude 1,143,11
διελέγετο,he was reasoning,V-IIM/P-3S,G1256,Jude 1,144,11
τοῦ,-,Art-GNS,G3588,Jude 1,145,11
Μωϋσέως,Moses’,N-GMS,G3475,Jude 1,146,11
σώματος,body,N-GNS,G4983,Jude 1,147,11
οὐκ,not,Adv,G3756,Jude 1,148,11
ἐτόλμησεν,did dare,V-AIA-3S,G5111,Jude 1,149,11
ἐπενεγκεῖν,to bring against him,V-ANA,G2018,Jude 1,150,11
βλασφημίας,blasphemous,N-GFS,G988,Jude 1,151,11
εἶπεν,said,V-AIA-3S,G2036,Jude 1,152,11
Ἐπιτιμήσαι,Rebuke,V-AOA-3S,G2008,Jude 1,153,11
σοι,you,PPro-D2S,G4771,Jude 1,154,11
Κύριος,the Lord,N-NMS,G2962,Jude 1,155,11
ὅσα,whatever things,RelPro-ANP,G3745,Jude 1,156,11
οἴδασιν,they have seen,V-RIA-3P,G1492,Jude 1,157,11
φυσικῶς,naturally,Adv,G5447,Jude 1,158,11
τὰ,the,Art-NNP,G3588,Jude 1,159,11
ἄλογα,irrational,Adj-NNP,G249,Jude 1,160,11
ζῷα,animals,N-NNP,G2226,Jude 1,161,11
ἐπίστανται,they understand,V-PIM/P-3P,G1987,Jude 1,162,11
τούτοις,these things,DPro-DNP,G3778,Jude 1,163,11
φθείρονται,they corrupt themselves,V-PIM/P-3P,G5351,Jude 1,164,11
οὐαὶ,Woe,I,G3759,Jude 1,165,11
αὐτοῖς,to them,PPro-DM3P,G846,Jude 1,166,11
ὁδῷ,way,N-DFS,G3598,Jude 1,167,11
Κάϊν,of Cain,N-GMS,G2535,Jude 1,168,11
ἐπορεύθησαν,they went,V-AIP-3P,G4198,Jude 1,169,11
πλάνῃ,error,N-DFS,G4106,Jude 1,170,11
Βαλαὰμ,of Balaam,N-GMS,G903,Jude 1,171,11
μισθοῦ,for reward,N-GMS,G3408,Jude 1,172,11
ἐξεχύθησαν,they rushed,V-AIP-3P,G1632,Jude 1,173,11
ἀντιλογίᾳ,rebellion,N-DFS,G485,Jude 1,174,11
Κόρε,of Korah,N-GMS,G2879,Jude 1,175,11
ἀπώλοντο,they perished,V-AIM-3P,G622,Jude 1,176,11
Οὗτοί,These,DPro-NMP,G3778,Jude 1,177,11
εἰσιν,are,V-PIA-3P,G1510,Jude 1,178,11
ταῖς,the,Art-DFP,G3588,Jude 1,179,11
ἀγάπαις,love feasts,N-DFP,G26,Jude 1,180,11
ὑμῶν,of you,PPro-G2P,G4771,Jude 1,181,11
σπιλάδες,hidden reefs,N-NFP,G4694,Jude 1,182,11
συνευωχούμενοι,feasting together with you,V-PPM/P-NMP,G4910,Jude 1,183,11
ἀφόβως,fearlessly,Adv,G870,Jude 1,184,11
