Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
προέθετο,He purposed,V-AIM-3S,G4388,Ephesians 1,81,14
οἰκονομίαν,the administration,N-AFS,G3622,Ephesians 1,82,14
πληρώματος,fullness,N-GNS,G4138,Ephesians 1,83,14
τῶν,of the,Art-GMP,G3588,Ephesians 1,84,14
καιρῶν,times,N-GMP,G2540,Ephesians 1,85,14
ἀνακεφαλαιώσασθαι,to bring together,V-ANM,G346,Ephesians 1,86,14
τὰ,the,Art-ANP,G3588,Ephesians 1,87,14
πάντα,all things,Adj-ANP,G3956,Ephesians 1,88,14
ἐπὶ,in,Prep,G1909,Ephesians 1,89,14
οὐρανοῖς,heavens,N-DMP,G3772,Ephesians 1,90,14
γῆς,earth,N-GFS,G1093,Ephesians 1,91,14
ἐκληρώθημεν,we have obtained an inheritance,V-AIP-1P,G2820,Ephesians 1,92,14
προορισθέντες,having been predestined,V-APP-NMP,G4309,Ephesians 1,93,14
πρόθεσιν,the purpose,N-AFS,G4286,Ephesians 1,94,14
ἐνεργοῦντος,working,V-PPA-GMS,G1754,Ephesians 1,95,14
βουλὴν,counsel,N-AFS,G1012,Ephesians 1,96,14
τοὺς,the ones,Art-AMP,G3588,Ephesians 1,97,14
προηλπικότας,having first trusted,V-RPA-AMP,G4276,Ephesians 1,98,14
ὑμεῖς,you,PPro-N2P,G4771,Ephesians 1,99,14
ἀκούσαντες,having heard,V-APA-NMP,G191,Ephesians 1,100,14
τὸν,the,Art-AMS,G3588,Ephesians 1,101,14
λόγον,word,N-AMS,G3056,Ephesians 1,102,14
ἀληθείας,of truth,N-GFS,G225,Ephesians 1,103,14
εὐαγγέλιον,gospel,N-ANS,G2098,Ephesians 1,104,14
σωτηρίας,salvation,N-GFS,G4991,Ephesians 1,105,14
ὑμῶν,of you,PPro-G2P,G4771,Ephesians 1,106,14
πιστεύσαντες,having believed,V-APA-NMP,G4100,Ephesians 1,107,14
ἐσφραγίσθητε,you were sealed,V-AIP-2P,G4972,Ephesians 1,108,14
τῷ,with the,Art-DNS,G3588,Ephesians 1,109,14
Πνεύματι,Spirit,N-DNS,G4151,Ephesians 1,110,14
ἐπαγγελίας,of promise,N-GFS,G1860,Ephesians 1,111,14
Ἁγίῳ,Holy,Adj-DNS,G40,Ephesians 1,112,14
ὅ,who,RelPro-NNS,G3739,Ephesians 1,113,14
ἐστιν,is,V-PIA-3S,G1510,Ephesians 1,114,14
ἀρραβὼν,the guarantee,N-NMS,G728,Ephesians 1,115,14
κληρονομίας,inheritance,N-GFS,G2817,Ephesians 1,116,14
περιποιήσεως,acquired possession,N-GFS,G4047,Ephesians 1,117,14
Διὰ,Because of,Prep,G1223,Ephesians 1,118,14
τοῦτο,this,DPro-ANS,G3778,Ephesians 1,119,14
κἀγώ,I also,PPro-N1S,G2504,Ephesians 1,120,14
ἀκούσας,having heard of,V-APA-NMS,G191,Ephesians 1,121,14
καθ,among,Prep,G2596,Ephesians 1,122,14
ὑμᾶς,you,PPro-A2P,G4771,Ephesians 1,123,14
πίστιν,faith,N-AFS,G4102,Ephesians 1,124,14
Κυρίῳ,Lord,N-DMS,G2962,Ephesians 1,125,14
ἀγάπην,love,N-AFS,G26,Ephesians 1,126,14
