Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Βίβλος,The book,N-NFS,G976,Matthew 1,1
γενέσεως,of the genealogy,N-GFS,G1078,Matthew 1,2
Ἰησοῦ,of Jesus,N-GMS,G2424,Matthew 1,3
Χριστοῦ,Christ,N-GMS,G5547,Matthew 1,4
υἱοῦ,son,N-GMS,G5207,Matthew 1,5
Δαυὶδ,of David,N-GMS,G1138,Matthew 1,6
Ἀβραάμ,of Abraham,N-GMS,G11,Matthew 1,7
Ἀβραὰμ,Abraham,N-NMS,G11,Matthew 1,8
ἐγέννησεν,begat,V-AIA-3S,G1080,Matthew 1,9
τὸν,-,Art-AMS,G3588,Matthew 1,10
Ἰσαάκ,Isaac,N-AMS,G2464,Matthew 1,11
Ἰσαὰκ,Isaac,N-NMS,G2464,Matthew 1,12
δὲ,then,Conj,G1161,Matthew 1,13
Ἰακώβ,Jacob,N-AMS,G2384,Matthew 1,14
Ἰακὼβ,Jacob,N-NMS,G2384,Matthew 1,15
Ἰούδαν,Judah,N-AMS,G2455,Matthew 1,16
καὶ,and,Conj,G2532,Matthew 1,17
τοὺς,the,Art-AMP,G3588,Matthew 1,18
ἀδελφοὺς,brothers,N-AMP,G80,Matthew 1,19
αὐτοῦ,of him,PPro-GM3S,G846,Matthew 1,20
Ἰούδας,Judah,N-NMS,G2455,Matthew 1,21
Φαρὲς,Perez,N-AMS,G5329,Matthew 1,22
Ζαρὰ,Zerah,N-AMS,G2196,Matthew 1,23
ἐκ,out of,Prep,G1537,Matthew 1,24
τῆς,-,Art-GFS,G3588,Matthew 1,25
Θάμαρ,Tamar,N-GFS,G2283,Matthew 1,26
Φαρὲς,Perez,N-NMS,G5329,Matthew 1,27
Ἑσρώμ,Hezron,N-AMS,G2074,Matthew 1,28
Ἑσρὼμ,Hezron,N-NMS,G2074,Matthew 1,29
Ἀράμ,Ram,N-AMS,G689,Matthew 1,30
Ἀρὰμ,Ram,N-NMS,G689,Matthew 1,31
Ἀμιναδάβ,Amminadab,N-AMS,G284,Matthew 1,32
Ἀμιναδὰβ,Amminadab,N-NMS,G284,Matthew 1,33
Ναασσών,Nahshon,N-AMS,G3476,Matthew 1,34
Ναασσὼν,Nahshon,N-NMS,G3476,Matthew 1,35
Σαλμών,Salmon,N-AMS,G4533,Matthew 1,36
Σαλμὼν,Salmon,N-NMS,G4533,Matthew 1,37
Βόες,Boaz,N-AMS,G1003,Matthew 1,38
Ῥαχάβ,Rahab,N-GFS,G4477,Matthew 1,39
Βόες,Boaz,N-NMS,G1003,Matthew 1,40
Ἰωβὴδ,Obed,N-AMS,G5601,Matthew 1,41
Ῥούθ,Ruth,N-GFS,G4503,Matthew 1,42
Ἰωβὴδ,Obed,N-NMS,G5601,Matthew 1,43
Ἰεσσαί,Jesse,N-AMS,G2421,Matthew 1,44
Ἰεσσαὶ,Jesse,N-NMS,G2421,Matthew 1,45
Δαυὶδ,David,N-AMS,G1138,Matthew 1,46
βασιλέα,king,N-AMS,G935,Matthew 1,47
Δαυὶδ,David,N-NMS,G1138,Matthew 1,48
Σολομῶνα,Solomon,N-AMS,G4672,Matthew 1,49
τοῦ,-,Art-GMS,G3588,Matthew 1,50
Οὐρίου,of Uriah,N-GMS,G3774,Matthew 1,51
Σολομὼν,Solomon,N-NMS,G4672,Matthew 1,52
Ῥοβοάμ,Rehoboam,N-AMS,G4497,Matthew 1,53
Ῥοβοὰμ,Rehoboam,N-NMS,G4497,Matthew 1,54
Ἀβιά,Abijah,N-AMS,G7,Matthew 1,55
Ἀβιὰ,Abijah,N-NMS,G7,Matthew 1,56
Ἀσάφ,Asa,N-AMS,G760,Matthew 1,57
Ἀσὰφ,Asa,N-NMS,G760,Matthew 1,58
Ἰωσαφάτ,Jehoshaphat,N-AMS,G2498,Matthew 1,59
Ἰωσαφὰτ,Jehoshaphat,N-NMS,G2498,Matthew 1,60
Ἰωράμ,Joram,N-AMS,G2496,Matthew 1,61
