Greek  Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,#
Ὃ,That which,RelPro-NNS,G3739,1 John 1,1
ἦν,was,V-IIA-3S,G1510,1 John 1,2
ἀπ,from,Prep,G575,1 John 1,3
ἀρχῆς,the beginning,N-GFS,G746,1 John 1,4
ὃ,that which,RelPro-ANS,G3739,1 John 1,5
ἀκηκόαμεν,we have heard,V-RIA-1P,G191,1 John 1,6
ἑωράκαμεν,we have seen,V-RIA-1P,G3708,1 John 1,7
τοῖς,with the,Art-DMP,G3588,1 John 1,8
ὀφθαλμοῖς,eyes,N-DMP,G3788,1 John 1,9
ἡμῶν,of us,PPro-G1P,G1473,1 John 1,10
ἐθεασάμεθα,we have gazed upon,V-AIM-1P,G2300,1 John 1,11
καὶ,and,Conj,G2532,1 John 1,12
αἱ,the,Art-NFP,G3588,1 John 1,13
χεῖρες,hands,N-NFP,G5495,1 John 1,14
ἐψηλάφησαν,have handled,V-AIA-3P,G5584,1 John 1,15
περὶ,concerning,Prep,G4012,1 John 1,16
τοῦ,the,Art-GMS,G3588,1 John 1,17
Λόγου,Word,N-GMS,G3056,1 John 1,18
τῆς,-,Art-GFS,G3588,1 John 1,19
ζωῆς,of life,N-GFS,G2222,1 John 1,20
ἡ,the,Art-NFS,G3588,1 John 1,21
ζωὴ,life,N-NFS,G2222,1 John 1,22
ἐφανερώθη,was made manifest,V-AIP-3S,G5319,1 John 1,23
μαρτυροῦμεν,bear witness,V-PIA-1P,G3140,1 John 1,24
ἀπαγγέλλομεν,we proclaim,V-PIA-1P,G518,1 John 1,25
ὑμῖν,to you,PPro-D2P,G4771,1 John 1,26
τὴν,the,Art-AFS,G3588,1 John 1,27
ζωὴν,life,N-AFS,G2222,1 John 1,28
αἰώνιον,eternal,Adj-AFS,G166,1 John 1,29
ἥτις,which,RelPro-NFS,G3748,1 John 1,30
πρὸς,with,Prep,G4314,1 John 1,31
τὸν,the,Art-AMS,G3588,1 John 1,32
Πατέρα,Father,N-AMS,G3962,1 John 1,33
ἡμῖν,to us,PPro-D1P,G1473,1 John 1,34
ἵνα,so that,Conj,G2443,1 John 1,35
ὑμεῖς,you,PPro-N2P,G4771,1 John 1,36
κοινωνίαν,fellowship,N-AFS,G2842,1 John 1,37
ἔχητε,may have,V-PSA-2P,G2192,1 John 1,38
μεθ,with,Prep,G3326,1 John 1,39
κοινωνία,fellowship,N-NFS,G2842,1 John 1,40
δὲ,now,Conj,G1161,1 John 1,41
ἡμετέρα,of us,PPro-NF1P,G2251,1 John 1,42
μετὰ,is with,Prep,G3326,1 John 1,43
Πατρὸς,Father,N-GMS,G3962,1 John 1,44
Υἱοῦ,Son,N-GMS,G5207,1 John 1,45
αὐτοῦ,of Him,PPro-GM3S,G846,1 John 1,46
Ἰησοῦ,Jesus,N-GMS,G2424,1 John 1,47
Χριστοῦ,Christ,N-GMS,G5547,1 John 1,48
ταῦτα,these things,DPro-ANP,G3778,1 John 1,49
γράφομεν,write,V-PIA-1P,G1125,1 John 1,50
ἡμεῖς,we,PPro-N1P,G1473,1 John 1,51
χαρὰ,joy,N-NFS,G5479,1 John 1,52
ᾖ,might be,V-PSA-3S,G1510,1 John 1,53
πεπληρωμένη,complete,V-RPM/P-NFS,G4137,1 John 1,54
ἔστιν,is,V-PIA-3S,G1510,1 John 1,55
αὕτη,this,DPro-NFS,G3778,1 John 1,56
ἀγγελία,message,N-NFS,G31,1 John 1,57
ἣν,that,RelPro-AFS,G3739,1 John 1,58
ἀναγγέλλομεν,we preach,V-PIA-1P,G312,1 John 1,59
ὅτι,that,Conj,G3754,1 John 1,60
ὁ,-,Art-NMS,G3588,1 John 1,61
Θεὸς,God,N-NMS,G2316,1 John 1,62
φῶς,light,N-NNS,G5457,1 John 1,63
ἐστιν,is,V-PIA-3S,G1510,1 John 1,64
σκοτία,darkness,N-NFS,G4653,1 John 1,65
ἐν,in,Prep,G1722,1 John 1,66
αὐτῷ,Him,PPro-DM3S,G846,1 John 1,67
οὐκ,not,Adv,G3756,1 John 1,68
οὐδεμία,none,Adj-NFS,G3762,1 John 1,69
Ἐὰν,If,Conj,G1437,1 John 1,70
εἴπωμεν,we should say,V-ASA-1P,G2036,1 John 1,71
ἔχομεν,we have,V-PIA-1P,G2192,1 John 1,72
μετ,with,Prep,G3326,1 John 1,73
τῷ,the,Art-DNS,G3588,1 John 1,74
σκότει,darkness,N-DNS,G4655,1 John 1,75
περιπατῶμεν,should walk,V-PSA-1P,G4043,1 John 1,76
ψευδόμεθα,we lie,V-PIM/P-1P,G5574,1 John 1,77
οὐ,not,Adv,G3756,1 John 1,78
ποιοῦμεν,do practice,V-PIA-1P,G4160,1 John 1,79
ἀλήθειαν,truth,N-AFS,G225,1 John 1,80
φωτὶ,light,N-DNS,G5457,1 John 1,81
ὡς,as,Adv,G5613,1 John 1,82
αὐτός,He,PPro-NM3S,G846,1 John 1,83
φωτί,light,N-DNS,G5457,1 John 1,84
ἀλλήλων,one another,RecPro-GMP,G240,1 John 1,85
τὸ,the,Art-NNS,G3588,1 John 1,86
αἷμα,blood,N-NNS,G129,1 John 1,87
καθαρίζει,cleanses,V-PIA-3S,G2511,1 John 1,88
ἡμᾶς,us,PPro-A1P,G1473,1 John 1,89
ἀπὸ,from,Prep,G575,1 John 1,90
πάσης,all,Adj-GFS,G3956,1 John 1,91
ἁμαρτίας,sin,N-GFS,G266,1 John 1,92
ἁμαρτίαν,sin,N-AFS,G266,1 John 1,93
ἑαυτοὺς,ourselves,RefPro-AM3P,G1438,1 John 1,94
πλανῶμεν,we deceive,V-PIA-1P,G4105,1 John 1,95
ἀλήθεια,truth,N-NFS,G225,1 John 1,96
ὁμολογῶμεν,we should confess,V-PSA-1P,G3670,1 John 1,97
τὰς,the,Art-AFP,G3588,1 John 1,98
ἁμαρτίας,sins,N-AFP,G266,1 John 1,99
πιστός,faithful,Adj-NMS,G4103,1 John 1,100
δίκαιος,just,Adj-NMS,G1342,1 John 1,101
ἀφῇ,He may forgive,V-ASA-3S,G863,1 John 1,102
καθαρίσῃ,might cleanse,V-ASA-3S,G2511,1 John 1,103
ἀδικίας,unrighteousness,N-GFS,G93,1 John 1,104
οὐχ,not,Adv,G3756,1 John 1,105
ἡμαρτήκαμεν,we have sinned,V-RIA-1P,G264,1 John 1,106
ψεύστην,a liar,N-AMS,G5583,1 John 1,107
αὐτὸν,Him,PPro-AM3S,G846,1 John 1,108
λόγος,word,N-NMS,G3056,1 John 1,109
Τεκνία,Little children,N-VNP,G5040,1 John 2,110
μου,of me,PPro-G1S,G1473,1 John 2,111
γράφω,I am writing,V-PIA-1S,G1125,1 John 2,112
μὴ,not,Adv,G3361,1 John 2,113
ἁμάρτητε,you might sin,V-ASA-2P,G264,1 John 2,114
ἐάν,if,Conj,G1437,1 John 2,115
τις,anyone,IPro-NMS,G5100,1 John 2,116
ἁμάρτῃ,should sin,V-ASA-3S,G264,1 John 2,117
Παράκλητον,an advocate,N-AMS,G3875,1 John 2,118
Ἰησοῦν,Jesus,N-AMS,G2424,1 John 2,119
Χριστὸν,Christ,N-AMS,G5547,1 John 2,120
δίκαιον,the Righteous One,Adj-AMS,G1342,1 John 2,121
αὐτὸς,He,PPro-NM3S,G846,1 John 2,122
ἱλασμός,the propitiation,N-NMS,G2434,1 John 2,123
τῶν,the,Art-GFP,G3588,1 John 2,124
ἁμαρτιῶν,sins,N-GFP,G266,1 John 2,125
ἡμετέρων,of ours,PPro-GF1P,G2251,1 John 2,126
μόνον,only,Adv,G3440,1 John 2,127
ἀλλὰ,but,Conj,G235,1 John 2,128
ὅλου,all,Adj-GMS,G3650,1 John 2,129
κόσμου,world,N-GMS,G2889,1 John 2,130
τούτῳ,this,DPro-DNS,G3778,1 John 2,131
γινώσκομεν,we know,V-PIA-1P,G1097,1 John 2,132
ἐγνώκαμεν,we have come to know,V-RIA-1P,G1097,1 John 2,133
αὐτόν,Him,PPro-AM3S,G846,1 John 2,134
ἐντολὰς,commandments,N-AFP,G1785,1 John 2,135
τηρῶμεν,we should keep,V-PSA-1P,G5083,1 John 2,136
λέγων,saying,V-PPA-NMS,G3004,1 John 2,137
Ἔγνωκα,I have known,V-RIA-1S,G1097,1 John 2,138
τηρῶν,keeping,V-PPA-NMS,G5083,1 John 2,139
ψεύστης,a liar,N-NMS,G5583,1 John 2,140
ἐστίν,he is,V-PIA-3S,G1510,1 John 2,141
τούτῳ,him,DPro-DMS,G3778,1 John 2,142
ὃς,Whoever,RelPro-NMS,G3739,1 John 2,143
δ,however,Conj,G1161,1 John 2,144
ἂν,-,Prtcl,G302,1 John 2,145
τηρῇ,may keep,V-PSA-3S,G5083,1 John 2,146
λόγον,word,N-AMS,G3056,1 John 2,147
ἀληθῶς,truly,Adv,G230,1 John 2,148
ἀγάπη,love,N-NFS,G26,1 John 2,149
Θεοῦ,of God,N-GMS,G2316,1 John 2,150
τετελείωται,has been perfected,V-RIM/P-3S,G5048,1 John 2,151
ἐσμεν,we are,V-PIA-1P,G1510,1 John 2,152
μένειν,to abide,V-PNA,G3306,1 John 2,153
ὀφείλει,ought,V-PIA-3S,G3784,1 John 2,154
καθὼς,just as,Adv,G2531,1 John 2,155
ἐκεῖνος,that,DPro-NMS,G1565,1 John 2,156
περιεπάτησεν,walk,V-AIA-3S,G4043,1 John 2,157
οὕτως,in the same way,Adv,G3779,1 John 2,158
περιπατεῖν,walked,V-PNA,G4043,1 John 2,159
Ἀγαπητοί,Beloved,Adj-VMP,G27,1 John 2,160
ἐντολὴν,a commandment,N-AFS,G1785,1 John 2,161
καινὴν,new,Adj-AFS,G2537,1 John 2,162
ἀλλ,but,Conj,G235,1 John 2,163
παλαιὰν,old,Adj-AFS,G3820,1 John 2,164
εἴχετε,you have had,V-IIA-2P,G2192,1 John 2,165
ἐντολὴ,commandment,N-NFS,G1785,1 John 2,166
παλαιά,old,Adj-NFS,G3820,1 John 2,167
ὃν,that,RelPro-AMS,G3739,1 John 2,168
ἠκούσατε,you have heard,V-AIA-2P,G191,1 John 2,169
πάλιν,Again,Adv,G3825,1 John 2,170
ὅ,which,RelPro-NNS,G3739,1 John 2,171
ἀληθὲς,TRUE,Adj-NNS,G227,1 John 2,172
παράγεται,is passing away,V-PIP-3S,G3855,1 John 2,173
ἀληθινὸν,TRUE,Adj-NNS,G228,1 John 2,174
ἤδη,already,Adv,G2235,1 John 2,175
φαίνει,shines,V-PIA-3S,G5316,1 John 2,176
εἶναι,to be,V-PNA,G1510,1 John 2,177
ἀδελφὸν,brother,N-AMS,G80,1 John 2,178
μισῶν,hating,V-PPA-NMS,G3404,1 John 2,179
τῇ,the,Art-DFS,G3588,1 John 2,180
σκοτίᾳ,darkness,N-DFS,G4653,1 John 2,181
ἐστὶν,is,V-PIA-3S,G1510,1 John 2,182
ἕως,even until,Prep,G2193,1 John 2,183
ἄρτι,now,Adv,G737,1 John 2,184
ἀγαπῶν,loving,V-PPA-NMS,G25,1 John 2,185
μένει,abides,V-PIA-3S,G3306,1 John 2,186
σκάνδαλον,cause for stumbling,N-NNS,G4625,1 John 2,187
περιπατεῖ,walks,V-PIA-3S,G4043,1 John 2,188
οἶδεν,does he know,V-RIA-3S,G1492,1 John 2,189
ποῦ,where,Adv,G4225,1 John 2,190
ὑπάγει,he is going,V-PIA-3S,G5217,1 John 2,191
ἐτύφλωσεν,has blinded,V-AIA-3S,G5186,1 John 2,192
τοὺς,the,Art-AMP,G3588,1 John 2,193
ὀφθαλμοὺς,eyes,N-AMP,G3788,1 John 2,194
ἀφέωνται,have been forgiven,V-RIM/P-3P,G863,1 John 2,195
ἁμαρτίαι,sins,N-NFP,G266,1 John 2,196
διὰ,for the sake of,Prep,G1223,1 John 2,197
τὸ,the,Art-ANS,G3588,1 John 2,198
ὄνομα,name,N-ANS,G3686,1 John 2,199
πατέρες,fathers,N-VMP,G3962,1 John 2,200
ἐγνώκατε,you have known,V-RIA-2P,G1097,1 John 2,201
νεανίσκοι,young men,N-VMP,G3495,1 John 2,202
νενικήκατε,you have overcome,V-RIA-2P,G3528,1 John 2,203
πονηρόν,evil one,Adj-AMS,G4190,1 John 2,204
Ἔγραψα,I have written,V-AIA-1S,G1125,1 John 2,205
παιδία,little children,N-VNP,G3813,1 John 2,206
ἰσχυροί,strong,Adj-NMP,G2478,1 John 2,207
ἐστε,you are,V-PIA-2P,G1510,1 John 2,208
ἀγαπᾶτε,love,V-PMA-2P,G25,1 John 2,209
κόσμον,world,N-AMS,G2889,1 John 2,210
μηδὲ,nor,Conj,G3366,1 John 2,211
τὰ,the things,Art-ANP,G3588,1 John 2,212
τῷ,the,Art-DMS,G3588,1 John 2,213
κόσμῳ,world,N-DMS,G2889,1 John 2,214
ἀγαπᾷ,should love,V-PSA-3S,G25,1 John 2,215
πᾶν,all,Adj-NNS,G3956,1 John 2,216
ἐπιθυμία,desire,N-NFS,G1939,1 John 2,217
σαρκὸς,flesh,N-GFS,G4561,1 John 2,218
τῶν,of the,Art-GMP,G3588,1 John 2,219
ὀφθαλμῶν,eyes,N-GMP,G3788,1 John 2,220
ἀλαζονεία,vaunting,N-NFS,G212,1 John 2,221
βίου,life,N-GMS,G979,1 John 2,222
ἐκ,from,Prep,G1537,1 John 2,223
πατρός,Father,N-GMS,G3962,1 John 2,224
κόσμος,world,N-NMS,G2889,1 John 2,225
ποιῶν,doing,V-PPA-NMS,G4160,1 John 2,226
θέλημα,will,N-ANS,G2307,1 John 2,227
εἰς,to,Prep,G1519,1 John 2,228
αἰῶνα,age,N-AMS,G165,1 John 2,229
ἐσχάτη,the last,Adj-NFS,G2078,1 John 2,230
ὥρα,hour,N-NFS,G5610,1 John 2,231
ἀντίχριστος,antichrist,N-NMS,G500,1 John 2,232
ἔρχεται,is coming,V-PIM/P-3S,G2064,1 John 2,233
νῦν,now,Adv,G3568,1 John 2,234
ἀντίχριστοι,antichrists,N-NMP,G500,1 John 2,235
πολλοὶ,many,Adj-NMP,G4183,1 John 2,236
γεγόνασιν,have arisen,V-RIA-3P,G1096,1 John 2,237
ὅθεν,whereby,Conj,G3606,1 John 2,238
ἐξ,From among,Prep,G1537,1 John 2,239
ἐξῆλθαν,they went out,V-AIA-3P,G1831,1 John 2,240
ἦσαν,they were,V-IIA-3P,G1510,1 John 2,241
εἰ,if,Conj,G1487,1 John 2,242
γὰρ,for,Conj,G1063,1 John 2,243
μεμενήκεισαν,they would have remained,V-LIA-3P,G3306,1 John 2,244
φανερωθῶσιν,it might be made manifest,V-ASP-3P,G5319,1 John 2,245
εἰσὶν,they are,V-PIA-3P,G1510,1 John 2,246
πάντες,all,Adj-NMP,G3956,1 John 2,247
χρῖσμα,the anointing,N-ANS,G5545,1 John 2,248
ἔχετε,have,V-PIA-2P,G2192,1 John 2,249
Ἁγίου,Holy One,Adj-GMS,G40,1 John 2,250
οἴδατε,know you,V-RIA-2P,G1492,1 John 2,251
αὐτήν,it,PPro-AF3S,G846,1 John 2,252
ψεῦδος,lie,N-NNS,G5579,1 John 2,253
ἀληθείας,truth,N-GFS,G225,1 John 2,254
Τίς,Who,IPro-NMS,G5101,1 John 2,255
ἀρνούμενος,denying,V-PPM/P-NMS,G720,1 John 2,256
Ἰησοῦς,Jesus,N-NMS,G2424,1 John 2,257
Χριστός,Christ,N-NMS,G5547,1 John 2,258
οὗτός,This,DPro-NMS,G3778,1 John 2,259
Υἱόν,Son,N-AMS,G5207,1 John 2,260
πᾶς,Everyone,Adj-NMS,G3956,1 John 2,261
Υἱὸν,Son,N-AMS,G5207,1 John 2,262
οὐδὲ,neither,Adv,G3761,1 John 2,263
ἔχει,has he,V-PIA-3S,G2192,1 John 2,264
ὁμολογῶν,confessing,V-PPA-NMS,G3670,1 John 2,265
μενέτω,let it abide,V-PMA-3S,G3306,1 John 2,266
μείνῃ,should abide,V-ASA-3S,G3306,1 John 2,267
Υἱῷ,Son,N-DMS,G5207,1 John 2,268
Πατρὶ,Father,N-DMS,G3962,1 John 2,269
μενεῖτε,will abide,V-FIA-2P,G3306,1 John 2,270
ἐπαγγελία,promise,N-NFS,G1860,1 John 2,271
ἐπηγγείλατο,promised,V-AIM-3S,G1861,1 John 2,272
πλανώντων,leading astray,V-PPA-GMP,G4105,1 John 2,273
ὑμᾶς,you,PPro-A2P,G4771,1 John 2,274
χρῖσμα,anointing,N-NNS,G5545,1 John 2,275
ἐλάβετε,you received,V-AIA-2P,G2983,1 John 2,276
χρείαν,need,N-AFS,G5532,1 John 2,277
διδάσκῃ,should teach,V-PSA-3S,G1321,1 John 2,278
διδάσκει,teaches,V-PIA-3S,G1321,1 John 2,279
πάντων,all things,Adj-GNP,G3956,1 John 2,280
ἀληθές,TRUE,Adj-NNS,G227,1 John 2,281
ἐδίδαξεν,it has taught,V-AIA-3S,G1321,1 John 2,282
μένετε,you shall abide,V-PIA-2P,G3306,1 John 2,283
μένετε,abide,V-PMA-2P,G3306,1 John 2,284
φανερωθῇ,He appears,V-ASP-3S,G5319,1 John 2,285
σχῶμεν,we might have,V-ASA-1P,G2192,1 John 2,286
παρρησίαν,boldness,N-AFS,G3954,1 John 2,287
αἰσχυνθῶμεν,be ashamed,V-ASP-1P,G153,1 John 2,288
παρουσίᾳ,coming,N-DFS,G3952,1 John 2,289
εἰδῆτε,you know,V-RSA-2P,G1492,1 John 2,290
δίκαιός,righteous,Adj-NMS,G1342,1 John 2,291
γινώσκετε,you know,V-PIA-2P,G1097,1 John 2,292
δικαιοσύνην,righteousness,N-AFS,G1343,1 John 2,293
γεγέννηται,has been begotten,V-RIM/P-3S,G1080,1 John 2,294
Ἴδετε,Behold,V-AMA-2P,G3708,1 John 3,295
ποταπὴν,what,IPro-AFS,G4217,1 John 3,296
ἀγάπην,love,N-AFS,G26,1 John 3,297
δέδωκεν,has given,V-RIA-3S,G1325,1 John 3,298
Πατὴρ,Father,N-NMS,G3962,1 John 3,299
τέκνα,children,N-NNP,G5043,1 John 3,300
κληθῶμεν,we should be called,V-ASP-1P,G2564,1 John 3,301
ἐσμέν,we are,V-PIA-1P,G1510,1 John 3,302
τοῦτο,this,DPro-ANS,G3778,1 John 3,303
γινώσκει,knows,V-PIA-3S,G1097,1 John 3,304
ἔγνω,it knew,V-AIA-3S,G1097,1 John 3,305
οὔπω,not yet,Adv,G3768,1 John 3,306
τί,what,IPro-NNS,G5101,1 John 3,307
ἐσόμεθα,we will be,V-FIM-1P,G1510,1 John 3,308
οἴδαμεν,We know,V-RIA-1P,G1492,1 John 3,309
ὅμοιοι,like,Adj-NMP,G3664,1 John 3,310
ὀψόμεθα,we will see,V-FIM-1P,G3708,1 John 3,311
καθώς,as,Adv,G2531,1 John 3,312
ἔχων,having,V-PPA-NMS,G2192,1 John 3,313
ἐλπίδα,hope,N-AFS,G1680,1 John 3,314
ταύτην,this,DPro-AFS,G3778,1 John 3,315
ἐπ,in,Prep,G1909,1 John 3,316
ἁγνίζει,purifies,V-PIA-3S,G48,1 John 3,317
ἑαυτὸν,himself,RefPro-AM3S,G1438,1 John 3,318
ἁγνός,pure,Adj-NMS,G53,1 John 3,319
ἀνομίαν,lawlessness,N-AFS,G458,1 John 3,320
ποιεῖ,commits,V-PIA-3S,G4160,1 John 3,321
ἁμαρτία,sin,N-NFS,G266,1 John 3,322
ἀνομία,lawlessness,N-NFS,G458,1 John 3,323
ἄρῃ,He might take away,V-ASA-3S,G142,1 John 3,324
μένων,abiding,V-PPA-NMS,G3306,1 John 3,325
ἁμαρτάνει,sins,V-PIA-3S,G264,1 John 3,326
ἁμαρτάνων,sinning,V-PPA-NMS,G264,1 John 3,327
ἑώρακεν,has seen,V-RIA-3S,G3708,1 John 3,328
οὐδὲ,nor,Conj,G3761,1 John 3,329
ἔγνωκεν,has he known,V-RIA-3S,G1097,1 John 3,330
μηδεὶς,no one,Adj-NMS,G3367,1 John 3,331
πλανάτω,let lead astray,V-PMA-3S,G4105,1 John 3,332
διαβόλου,devil,Adj-GMS,G1228,1 John 3,333
διάβολος,devil,Adj-NMS,G1228,1 John 3,334
Υἱὸς,Son,N-NMS,G5207,1 John 3,335
λύσῃ,He might destroy,V-ASA-3S,G3089,1 John 3,336
ἔργα,works,N-ANP,G2041,1 John 3,337
γεγεννημένος,having been born,V-RPM/P-NMS,G1080,1 John 3,338
σπέρμα,seed,N-NNS,G4690,1 John 3,339
δύναται,he is able,V-PIM/P-3S,G1410,1 John 3,340
ἁμαρτάνειν,to continue sinning,V-PNA,G264,1 John 3,341
φανερά,manifest,Adj-NNP,G5318,1 John 3,342
τὰ,the,Art-NNP,G3588,1 John 3,343
ἀγαπῶμεν,we should love,V-PSA-1P,G25,1 John 3,344
ἀλλήλους,one another,RecPro-AMP,G240,1 John 3,345
Κάϊν,Cain,N-NMS,G2535,1 John 3,346
πονηροῦ,evil one,Adj-GMS,G4190,1 John 3,347
ἔσφαξεν,slew,V-AIA-3S,G4969,1 John 3,348
χάριν,because of,Prep,G5484,1 John 3,349
τίνος,what,IPro-GNS,G5101,1 John 3,350
ἔργα,works,N-NNP,G2041,1 John 3,351
πονηρὰ,evil,Adj-NNP,G4190,1 John 3,352
ἀδελφοῦ,brother,N-GMS,G80,1 John 3,353
δίκαια,righteous,Adj-NNP,G1342,1 John 3,354
θαυμάζετε,be surprised,V-PMA-2P,G2296,1 John 3,355
ἀδελφοί,brothers,N-VMP,G80,1 John 3,356
μισεῖ,hates,V-PIA-3S,G3404,1 John 3,357
μεταβεβήκαμεν,we have passed,V-RIA-1P,G3327,1 John 3,358
θανάτου,death,N-GMS,G2288,1 John 3,359
ζωήν,life,N-AFS,G2222,1 John 3,360
ἀγαπῶμεν,we love,V-PIA-1P,G25,1 John 3,361
ἀδελφούς,brothers,N-AMP,G80,1 John 3,362
θανάτῳ,death,N-DMS,G2288,1 John 3,363
ἀνθρωποκτόνος,a murderer,N-NMS,G443,1 John 3,364
μένουσαν,abiding,V-PPA-AFS,G3306,1 John 3,365
ὑπὲρ,for,Prep,G5228,1 John 3,366
ψυχὴν,life,N-AFS,G5590,1 John 3,367
ἔθηκεν,laid down,V-AIA-3S,G5087,1 John 3,368
ὀφείλομεν,ought,V-PIA-1P,G3784,1 John 3,369
ἀδελφῶν,brothers,N-GMP,G80,1 John 3,370
ψυχὰς,lives,N-AFP,G5590,1 John 3,371
θεῖναι,to lay down,V-ANA,G5087,1 John 3,372
ἔχῃ,might have,V-PSA-3S,G2192,1 John 3,373
βίον,goods,N-AMS,G979,1 John 3,374
θεωρῇ,might see,V-PSA-3S,G2334,1 John 3,375
ἔχοντα,having,V-PPA-AMS,G2192,1 John 3,376
κλείσῃ,might close up,V-ASA-3S,G2808,1 John 3,377
σπλάγχνα,heart,N-ANP,G4698,1 John 3,378
πῶς,how,Adv,G4459,1 John 3,379
λόγῳ,in word,N-DMS,G3056,1 John 3,380
γλώσσῃ,tongue,N-DFS,G1100,1 John 3,381
ἔργῳ,action,N-DNS,G2041,1 John 3,382
ἀληθείᾳ,in truth,N-DFS,G225,1 John 3,383
γνωσόμεθα,we will know,V-FIM-1P,G1097,1 John 3,384
ἔμπροσθεν,before,Prep,G1715,1 John 3,385
πείσομεν,we will assure,V-FIA-1P,G3982,1 John 3,386
καρδίαν,heart,N-AFS,G2588,1 John 3,387
καταγινώσκῃ,should condemn us,V-PSA-3S,G2607,1 John 3,388
καρδία,heart,N-NFS,G2588,1 John 3,389
μείζων,greater than,Adj-NMS-C,G3173,1 John 3,390
καρδίας,heart,N-GFS,G2588,1 John 3,391
πάντα,all things,Adj-ANP,G3956,1 John 3,392
ἡμῶν ,of us,PPro-G1P,G1473,1 John 3,393
καταγινώσκῃ,should condemn us,V-PSA-3S,G2607,1 John 3,394
Θεόν,God,N-AMS,G2316,1 John 3,395
αἰτῶμεν,we might ask,V-PSA-1P,G154,1 John 3,396
λαμβάνομεν,we receive,V-PIA-1P,G2983,1 John 3,397
τηροῦμεν,we keep,V-PIA-1P,G5083,1 John 3,398
ἀρεστὰ,pleasing,Adj-ANP,G701,1 John 3,399
ἐνώπιον,before,Prep,G1799,1 John 3,400
πιστεύσωμεν,we should believe,V-ASA-1P,G4100,1 John 3,401
ὀνόματι,name,N-DNS,G3686,1 John 3,402
ἔδωκεν,He gave,V-AIA-3S,G1325,1 John 3,403
τοῦ,the,Art-GNS,G3588,1 John 3,404
Πνεύματος,Spirit,N-GNS,G4151,1 John 3,405
οὗ,whom,RelPro-GNS,G3739,1 John 3,406
παντὶ,every,Adj-DNS,G3956,1 John 4,407
πνεύματι,spirit,N-DNS,G4151,1 John 4,408
πιστεύετε,believe,V-PMA-2P,G4100,1 John 4,409
δοκιμάζετε,test,V-PMA-2P,G1381,1 John 4,410
πνεύματα,spirits,N-ANP,G4151,1 John 4,411
ψευδοπροφῆται,false prophets,N-NMP,G5578,1 John 4,412
ἐξεληλύθασιν,have gone out,V-RIA-3P,G1831,1 John 4,413
Πνεῦμα,Spirit,N-ANS,G4151,1 John 4,414
πνεῦμα,spirit,N-NNS,G4151,1 John 4,415
ὁμολογεῖ,confesses,V-PIA-3S,G3670,1 John 4,416
σαρκὶ,the flesh,N-DFS,G4561,1 John 4,417
ἐληλυθότα,having come,V-RPA-AMS,G2064,1 John 4,418
τοῦτό,this,DPro-NNS,G3778,1 John 4,419
ἀντιχρίστου,antichrist,N-GMS,G500,1 John 4,420
ἀκηκόατε,you heard,V-RIA-2P,G191,1 John 4,421
αὐτούς,them,PPro-AM3P,G846,1 John 4,422
ἢ,than,Conj,G2228,1 John 4,423
αὐτοὶ,They,PPro-NM3P,G846,1 John 4,424
εἰσίν,are,V-PIA-3P,G1510,1 John 4,425
λαλοῦσιν,they speak,V-PIA-3P,G2980,1 John 4,426
αὐτῶν,them,PPro-GM3P,G846,1 John 4,427
ἀκούει,listens to,V-PIA-3S,G191,1 John 4,428
γινώσκων,knowing,V-PPA-NMS,G1097,1 John 4,429
Θεὸν,God,N-AMS,G2316,1 John 4,430
τούτου,this,DPro-GNS,G3778,1 John 4,431
πλάνης,of falsehood,N-GFS,G4106,1 John 4,432
μονογενῆ,one and only,Adj-AMS,G3439,1 John 4,433
ἀπέσταλκεν,has sent,V-RIA-3S,G649,1 John 4,434
ζήσωμεν,we might live,V-ASA-1P,G2198,1 John 4,435
δι,through,Prep,G1223,1 John 4,436
ἠγαπήκαμεν,loved,V-RIA-1P,G25,1 John 4,437
ἠγάπησεν,loved,V-AIA-3S,G25,1 John 4,438
ἀπέστειλεν,sent,V-AIA-3S,G649,1 John 4,439
ἱλασμὸν,as a propitiation,N-AMS,G2434,1 John 4,440
ἀγαπᾶν,to love,V-PNA,G25,1 John 4,441
οὐδεὶς,no one,Adj-NMS,G3762,1 John 4,442
πώποτε,at any time,Adv,G4455,1 John 4,443
τεθέαται,has seen,V-RIM/P-3S,G2300,1 John 4,444
τετελειωμένη ,having been perfected,V-RPM/P-NFS,G5048,1 John 4,445
ἡμῖν,us,PPro-D1P,G1473,1 John 4,446
μένομεν,we abide,V-PIA-1P,G3306,1 John 4,447
τεθεάμεθα,have seen,V-RIM/P-1P,G2300,1 John 4,448
Σωτῆρα,Savior,N-AMS,G4990,1 John 4,449
ὁμολογήσῃ,shall confess,V-ASA-3S,G3670,1 John 4,450
Θεῷ,God,N-DMS,G2316,1 John 4,451
πεπιστεύκαμεν,have come to believe,V-RIA-1P,G4100,1 John 4,452
ἀγάπῃ,love,N-DFS,G26,1 John 4,453
ἔχωμεν,we may have,V-PSA-1P,G2192,1 John 4,454
ἡμέρᾳ,day,N-DFS,G2250,1 John 4,455
κρίσεως,of judgment,N-GFS,G2920,1 John 4,456
ἐκεῖνός,He,DPro-NMS,G1565,1 John 4,457
Φόβος,Fear,N-NMS,G5401,1 John 4,458
τελεία,perfect,Adj-NFS,G5046,1 John 4,459
