Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,1 Corinthians 1,1
κλητὸς,a called,Adj-NMS,G2822,1 Corinthians 1,2
ἀπόστολος,apostle,N-NMS,G652,1 Corinthians 1,3
Χριστοῦ,of Christ,N-GMS,G5547,1 Corinthians 1,4
Ἰησοῦ,Jesus,N-GMS,G2424,1 Corinthians 1,5
διὰ,by the,Prep,G1223,1 Corinthians 1,6
θελήματος,will,N-GNS,G2307,1 Corinthians 1,7
Θεοῦ,of God,N-GMS,G2316,1 Corinthians 1,8
καὶ,and,Conj,G2532,1 Corinthians 1,9
Σωσθένης,Sosthenes,N-NMS,G4988,1 Corinthians 1,10
ὁ,the,Art-NMS,G3588,1 Corinthians 1,11
ἀδελφὸς,brother,N-NMS,G80,1 Corinthians 1,12
Τῇ,To the,Art-DFS,G3588,1 Corinthians 1,13
ἐκκλησίᾳ,church,N-DFS,G1577,1 Corinthians 1,14
τοῦ,-,Art-GMS,G3588,1 Corinthians 1,15
τῇ,-,Art-DFS,G3588,1 Corinthians 1,16
οὔσῃ,being,V-PPA-DFS,G1510,1 Corinthians 1,17
ἐν,in,Prep,G1722,1 Corinthians 1,18
Κορίνθῳ» ,Corinth,N-DFS,G2882,1 Corinthians 1,19
ἡγιασμένοις,having been sanctified,V-RPM/P-DMP,G37,1 Corinthians 1,20
Χριστῷ,Christ,N-DMS,G5547,1 Corinthians 1,21
Ἰησοῦ,Jesus,N-DMS,G2424,1 Corinthians 1,22
κλητοῖς,called,Adj-DMP,G2822,1 Corinthians 1,23
ἁγίοις,holy,Adj-DMP,G40,1 Corinthians 1,24
σὺν,together with,Prep,G4862,1 Corinthians 1,25
πᾶσιν,all,Adj-DMP,G3956,1 Corinthians 1,26
τοῖς,those,Art-DMP,G3588,1 Corinthians 1,27
ἐπικαλουμένοις,calling on,V-PPM-DMP,G1941,1 Corinthians 1,28
τὸ,the,Art-ANS,G3588,1 Corinthians 1,29
ὄνομα,name,N-ANS,G3686,1 Corinthians 1,30
Κυρίου,Lord,N-GMS,G2962,1 Corinthians 1,31
ἡμῶν,of us,PPro-G1P,G1473,1 Corinthians 1,32
παντὶ,every,Adj-DMS,G3956,1 Corinthians 1,33
τόπῳ,place,N-DMS,G5117,1 Corinthians 1,34
αὐτῶν,both theirs,PPro-GM3P,G846,1 Corinthians 1,35
Χάρις,Grace,N-NFS,G5485,1 Corinthians 1,36
ὑμῖν,to you,PPro-D2P,G4771,1 Corinthians 1,37
εἰρήνη,peace,N-NFS,G1515,1 Corinthians 1,38
ἀπὸ,from,Prep,G575,1 Corinthians 1,39
Πατρὸς,Father,N-GMS,G3962,1 Corinthians 1,40
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,1 Corinthians 1,41
τῷ,the,Art-DMS,G3588,1 Corinthians 1,42
Θεῷ,God,N-DMS,G2316,1 Corinthians 1,43
μου,of me,PPro-G1S,G1473,1 Corinthians 1,44
πάντοτε,always,Adv,G3842,1 Corinthians 1,45
περὶ,concerning,Prep,G4012,1 Corinthians 1,46
ὑμῶν,you,PPro-G2P,G4771,1 Corinthians 1,47
ἐπὶ,for,Prep,G1909,1 Corinthians 1,48
τῇ,the,Art-DFS,G3588,1 Corinthians 1,49
χάριτι,grace,N-DFS,G5485,1 Corinthians 1,50
δοθείσῃ,having been given,V-APP-DFS,G1325,1 Corinthians 1,51
Ἰησοῦ,Jesus,N-DMS,G2424,1 Corinthians 1,52
ὅτι,that,Conj,G3754,1 Corinthians 1,53
παντὶ,everything,Adj-DNS,G3956,1 Corinthians 1,54
ἐπλουτίσθητε,you have been enriched,V-AIP-2P,G4148,1 Corinthians 1,55
αὐτῷ,Him,PPro-DM3S,G846,1 Corinthians 1,56
λόγῳ,speech,N-DMS,G3056,1 Corinthians 1,57
πάσῃ,all,Adj-DFS,G3956,1 Corinthians 1,58
γνώσει,knowledge,N-DFS,G1108,1 Corinthians 1,59
καθὼς,as,Adv,G2531,1 Corinthians 1,60
τὸ,the,Art-NNS,G3588,1 Corinthians 1,61
μαρτύριον,testimony,N-NNS,G3142,1 Corinthians 1,62
