Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ὁ,The,Art-NMS,G3588,2 John 1,1
πρεσβύτερος,elder,Adj-NMS,G4245,2 John 1,2
Ἐκλεκτῇ,To the elect,Adj-DFS,G1588,2 John 1,3
κυρίᾳ,lady,N-DFS,G2959,2 John 1,4
καὶ,and,Conj,G2532,2 John 1,5
τέκνοις,children,N-DNP,G5043,2 John 1,6
αὐτῆς,of her,PPro-GF3S,G846,2 John 1,7
οὓς,whom,RelPro-AMP,G3739,2 John 1,8
ἐγὼ,I,PPro-N1S,G1473,2 John 1,9
ἀγαπῶ,love,V-PIA-1S,G25,2 John 1,10
ἐν,in,Prep,G1722,2 John 1,11
ἀληθείᾳ,truth,N-DFS,G225,2 John 1,12
οὐκ,not,Adv,G3756,2 John 1,13
μόνος,only,Adj-NMS,G3441,2 John 1,14
ἀλλὰ,but,Conj,G235,2 John 1,15
πάντες,all,Adj-NMP,G3956,2 John 1,16
ἐγνωκότες,having known,V-RPA-NMP,G1097,2 John 1,17
διὰ,because of,Prep,G1223,2 John 1,18
μένουσαν,abiding,V-PPA-AFS,G3306,2 John 1,19
μεθ,with,Prep,G3326,2 John 1,20
ἔσται,that will be,V-FIM-3S,G1510,2 John 1,21
εἰς,to,Prep,G1519,2 John 1,22
αἰῶνα,age,N-AMS,G165,2 John 1,23
χάρις,grace,N-NFS,G5485,2 John 1,24
ἔλεος,mercy,N-NNS,G1656,2 John 1,25
εἰρήνη,and peace,N-NFS,G1515,2 John 1,26
παρὰ,from,Prep,G3844,2 John 1,27
Θεοῦ,God,N-GMS,G2316,2 John 1,28
Πατρός,the Father,N-GMS,G3962,2 John 1,29
Ἰησοῦ,Jesus,N-GMS,G2424,2 John 1,30
Χριστοῦ,Christ,N-GMS,G5547,2 John 1,31
Υἱοῦ,Son,N-GMS,G5207,2 John 1,32
ἀγάπῃ,love,N-DFS,G26,2 John 1,33
Ἐχάρην,I rejoiced,V-AIP-1S,G5463,2 John 1,34
λίαν,exceedingly,Adv,G3029,2 John 1,35
ὅτι,that,Conj,G3754,2 John 1,36
εὕρηκα,I have found,V-RIA-1S,G2147,2 John 1,37
ἐκ,some of,Prep,G1537,2 John 1,38
σου,of you,PPro-G2S,G4771,2 John 1,39
περιπατοῦντας,walking,V-PPA-AMP,G4043,2 John 1,40
καθὼς,just as,Adv,G2531,2 John 1,41
ἐντολὴν,commandment,N-AFS,G1785,2 John 1,42
ἐλάβομεν,we received,V-AIA-1P,G2983,2 John 1,43
νῦν,now,Adv,G3568,2 John 1,44
ἐρωτῶ,I implore,V-PIA-1S,G2065,2 John 1,45
ὡς,as,Adv,G5613,2 John 1,46
γράφων,I am writing,V-PPA-NMS,G1125,2 John 1,47
καινὴν,new,Adj-AFS,G2537,2 John 1,48
εἴχομεν,we have had,V-IIA-1P,G2192,2 John 1,49
ἀπ,from,Prep,G575,2 John 1,50
ἀρχῆς,the beginning,N-GFS,G746,2 John 1,51
ἵνα,that,Conj,G2443,2 John 1,52
ἀλλήλους,one another,RecPro-AMP,G240,2 John 1,53
αὕτη,this,DPro-NFS,G3778,2 John 1,54
κατὰ,according to,Prep,G2596,2 John 1,55
ἠκούσατε,you have heard,V-AIA-2P,G191,2 John 1,56
πολλοὶ,many,Adj-NMP,G4183,2 John 1,57
πλάνοι,deceivers,Adj-NMP,G4108,2 John 1,58
ἐξῆλθον,have entered,V-AIA-3P,G1831,2 John 1,59
κόσμον,world,N-AMS,G2889,2 John 1,60
μὴ,not,Adv,G3361,2 John 1,61
ὁμολογοῦντες,confessing,V-PPA-NMP,G3670,2 John 1,62
ἐρχόμενον,coming,V-PPM/P-AMS,G2064,2 John 1,63
σαρκί,flesh,N-DFS,G4561,2 John 1,64
ἀντίχριστος,antichrist,N-NMS,G500,2 John 1,65
βλέπετε,Watch,V-PMA-2P,G991,2 John 1,66
ἑαυτούς,yourselves,RefPro-AM3P,G1438,2 John 1,67
ἀπολέσητε,you should lose,V-ASA-2P,G622,2 John 1,68
εἰργασάμεθα,we have worked for,V-AIM-1P,G2038,2 John 1,69
μισθὸν,a reward,N-AMS,G3408,2 John 1,70
πλήρη,full,Adj-AMS,G4134,2 John 1,71
ἀπολάβητε,you may receive,V-ASA-2P,G618,2 John 1,72
προάγων,going on ahead,V-PPA-NMS,G4254,2 John 1,73
διδαχῇ,teaching,N-DFS,G1322,2 John 1,74
Εἴ,If,Conj,G1487,2 John 1,75
τις,anyone,IPro-NMS,G5100,2 John 1,76
πρὸς,to,Prep,G4314,2 John 1,77
φέρει,does bring,V-PIA-3S,G5342,2 John 1,78
οἰκίαν,the house,N-AFS,G3614,2 John 1,79
λέγετε,tell,V-PMA-2P,G3004,2 John 1,80
γὰρ,for,Conj,G1063,2 John 1,81
κοινωνεῖ,partakes,V-PIA-3S,G2841,2 John 1,82
ἔργοις,works,N-DNP,G2041,2 John 1,83
πονηροῖς,evil,Adj-DNP,G4190,2 John 1,84
ἐβουλήθην,I purposed,V-AIP-1S,G1014,2 John 1,85
χάρτου,paper,N-GMS,G5489,2 John 1,86
μέλανος,ink,N-GNS,G3188,2 John 1,87
ἐλπίζω,I hope,V-PIA-1S,G1679,2 John 1,88
γενέσθαι,to come,V-ANM,G1096,2 John 1,89
στόμα,mouth,N-ANS,G4750,2 John 1,90
λαλῆσαι,to speak,V-ANA,G2980,2 John 1,91
χαρὰ,joy,N-NFS,G5479,2 John 1,92
πεπληρωμένη,having been completed,V-RPM/P-NFS,G4137,2 John 1,93
