Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
δεσμοῖς,chains,N-DMP,G1199,Philemon 1,106
Ὀνήσιμον,Onesimus,N-AMS,G3682,Philemon 1,107
τόν,-,Art-AMS,G3588,Philemon 1,108
ποτέ,once,Prtcl,G4218,Philemon 1,109
ἄχρηστον,useless,Adj-AMS,G890,Philemon 1,110
σοὶ,to you,PPro-D2S,G4771,Philemon 1,111
ἐμοὶ,to me,PPro-D1S,G1473,Philemon 1,112
εὔχρηστον,useful,Adj-AMS,G2173,Philemon 1,113
ἀνέπεμψά,I have sent back,V-AIA-1S,G375,Philemon 1,114
αὐτόν,in person,PPro-AM3S,G846,Philemon 1,115
τοῦτ,he who,DPro-NNS,G3778,Philemon 1,116
ἔστιν,is,V-PIA-3S,G1510,Philemon 1,117
τὰ,-,Art-ANP,G3588,Philemon 1,118
ἐμὰ,my,PPro-NN1P,G1699,Philemon 1,119
σπλάγχνα,very heart,N-ANP,G4698,Philemon 1,120
ἐγὼ,I,PPro-N1S,G1473,Philemon 1,121
ἐβουλόμην,was wishing,V-IIM/P-1S,G1014,Philemon 1,122
ἐμαυτὸν,myself,PPro-AM1S,G1683,Philemon 1,123
κατέχειν,to keep,V-PNA,G2722,Philemon 1,124
ἵνα,so that,Conj,G2443,Philemon 1,125
ὑπὲρ,on behalf of,Prep,G5228,Philemon 1,126
μοι,me,PPro-D1S,G1473,Philemon 1,127
διακονῇ,he might serve,V-PSA-3S,G1247,Philemon 1,128
εὐαγγελίου,gospel,N-GNS,G2098,Philemon 1,129
Χωρὶς,Apart from,Prep,G5565,Philemon 1,130
σῆς,your,PPro-GF2S,G4674,Philemon 1,131
γνώμης,consent,N-GFS,G1106,Philemon 1,132
οὐδὲν,nothing,Adj-ANS,G3762,Philemon 1,133
ἠθέλησα,I wished,V-AIA-1S,G2309,Philemon 1,134
ποιῆσαι,to do,V-ANA,G4160,Philemon 1,135
μὴ,not,Adv,G3361,Philemon 1,136
κατὰ,according to,Prep,G2596,Philemon 1,137
ἀνάγκην,necessity,N-AFS,G318,Philemon 1,138
τὸ,the,Art-NNS,G3588,Philemon 1,139
ἀγαθόν,good,Adj-NNS,G18,Philemon 1,140
ᾖ,may be,V-PSA-3S,G1510,Philemon 1,141
ἀλλὰ,but,Conj,G235,Philemon 1,142
ἑκούσιον,willingness,Adj-ANS,G1595,Philemon 1,143
τάχα,Perhaps,Adv,G5029,Philemon 1,144
τοῦτο,this,DPro-ANS,G3778,Philemon 1,145
ἐχωρίσθη,he was separated from you,V-AIP-3S,G5563,Philemon 1,146
ὥραν,a time,N-AFS,G5610,Philemon 1,147
αἰώνιον,eternally,Adj-AMS,G166,Philemon 1,148
αὐτὸν,him,PPro-AM3S,G846,Philemon 1,149
ἀπέχῃς,you might possess,V-ASA-2S,G568,Philemon 1,150
οὐκέτι,no longer,Adv,G3765,Philemon 1,151
δοῦλον,a slave,N-AMS,G1401,Philemon 1,152
ἀδελφὸν,a brother,N-AMS,G80,Philemon 1,153
ἀγαπητόν,beloved,Adj-AMS,G27,Philemon 1,154
μάλιστα,especially,Adv,G3122,Philemon 1,155
ἐμοί,to me,PPro-D1S,G1473,Philemon 1,156
πόσῳ,how much,IPro-DNS,G4214,Philemon 1,157
σαρκὶ,the flesh,N-DFS,G4561,Philemon 1,158
