Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ἵνα,that,Conj,G2443,2 Thessalonians 1,89
ἀξιώσῃ,He may count worthy,V-ASA-3S,G515,2 Thessalonians 1,90
κλήσεως,calling,N-GFS,G2821,2 Thessalonians 1,91
πληρώσῃ,He may fulfill,V-ASA-3S,G4137,2 Thessalonians 1,92
εὐδοκίαν,good pleasure,N-AFS,G2107,2 Thessalonians 1,93
ἀγαθωσύνης,of goodness,N-GFS,G19,2 Thessalonians 1,94
ἔργον,work,N-ANS,G2041,2 Thessalonians 1,95
ὅπως,so that,Conj,G3704,2 Thessalonians 1,96
ὄνομα,name,N-NNS,G3686,2 Thessalonians 1,97
κατὰ,according to,Prep,G2596,2 Thessalonians 1,98
Ἐρωτῶμεν,We implore,V-PIA-1P,G2065,2 Thessalonians 2,99
δὲ,now,Conj,G1161,2 Thessalonians 2,100
παρουσίας,coming,N-GFS,G3952,2 Thessalonians 2,101
ἐπισυναγωγῆς,gathering together,N-GFS,G1997,2 Thessalonians 2,102
ταχέως,quickly,Adv,G5030,2 Thessalonians 2,103
σαλευθῆναι,to be shaken,V-ANP,G4531,2 Thessalonians 2,104
νοὸς,mind,N-GMS,G3563,2 Thessalonians 2,105
μηδὲ,nor,Conj,G3366,2 Thessalonians 2,106
θροεῖσθαι,to be troubled,V-PNM/P,G2360,2 Thessalonians 2,107
μήτε,neither,Conj,G3383,2 Thessalonians 2,108
διὰ,by,Prep,G1223,2 Thessalonians 2,109
πνεύματος,spirit,N-GNS,G4151,2 Thessalonians 2,110
λόγου,word,N-GMS,G3056,2 Thessalonians 2,111
ἐπιστολῆς,letter,N-GFS,G1992,2 Thessalonians 2,112
ὡς,as if,Adv,G5613,2 Thessalonians 2,113
ἐνέστηκεν,is present,V-RIA-3S,G1764,2 Thessalonians 2,114
τις,one,IPro-NMS,G5100,2 Thessalonians 2,115
ἐξαπατήσῃ,should deceive,V-ASA-3S,G1818,2 Thessalonians 2,116
μηδένα,not one,Adj-AMS,G3367,2 Thessalonians 2,117
τρόπον,way,N-AMS,G5158,2 Thessalonians 2,118
ἐὰν,if,Conj,G1437,2 Thessalonians 2,119
ἀποστασία,apostasy,N-NFS,G646,2 Thessalonians 2,120
πρῶτον,first,Adv-S,G4412,2 Thessalonians 2,121
ἀποκαλυφθῇ,shall have been revealed,V-ASP-3S,G601,2 Thessalonians 2,122
ἄνθρωπος,man,N-NMS,G444,2 Thessalonians 2,123
ἀνομίας,of lawlessness,N-GFS,G458,2 Thessalonians 2,124
υἱὸς,son,N-NMS,G5207,2 Thessalonians 2,125
ἀπωλείας,of destruction,N-GFS,G684,2 Thessalonians 2,126
ἀντικείμενος,opposing,V-PPM/P-NMS,G480,2 Thessalonians 2,127
ὑπεραιρόμενος,exalting himself,V-PPM/P-NMS,G5229,2 Thessalonians 2,128
λεγόμενον,so-called,V-PPM/P-AMS,G3004,2 Thessalonians 2,129
ἢ,or,Conj,G2228,2 Thessalonians 2,130
σέβασμα,object of worship,N-ANS,G4574,2 Thessalonians 2,131
ναὸν,temple,N-AMS,G3485,2 Thessalonians 2,132
καθίσαι,to sit down,V-ANA,G2523,2 Thessalonians 2,133
ἀποδεικνύντα,setting forth,V-PPA-AMS,G584,2 Thessalonians 2,134
ἑαυτὸν,he himself,RefPro-AM3S,G1438,2 Thessalonians 2,135
Οὐ,Not,Adv,G3756,2 Thessalonians 2,136
μνημονεύετε,do you remember,V-PIA-2P,G3421,2 Thessalonians 2,137
ἔτι,yet,Adv,G2089,2 Thessalonians 2,138
πρὸς,with,Prep,G4314,2 Thessalonians 2,139
ταῦτα,these things,DPro-ANP,G3778,2 Thessalonians 2,140
ἔλεγον,I was saying,V-IIA-1S,G2036,2 Thessalonians 2,141
νῦν,now,Adv,G3568,2 Thessalonians 2,142
κατέχον,is restraining,V-PPA-ANS,G2722,2 Thessalonians 2,143
καιρῷ,time,N-DMS,G2540,2 Thessalonians 2,144
γὰρ,for,Conj,G1063,2 Thessalonians 2,145
μυστήριον,mystery,N-NNS,G3466,2 Thessalonians 2,146
ἤδη,already,Adv,G2235,2 Thessalonians 2,147
ἐνεργεῖται,is working,V-PIM-3S,G1754,2 Thessalonians 2,148
μόνον,only there is,Adv,G3440,2 Thessalonians 2,149
ἄρτι,at present,Adv,G737,2 Thessalonians 2,150
ἕως,until,Conj,G2193,2 Thessalonians 2,151
ἐκ,out of,Prep,G1537,2 Thessalonians 2,152
μέσου,the midst,Adj-GNS,G3319,2 Thessalonians 2,153
γένηται,he might be gone,V-ASM-3S,G1096,2 Thessalonians 2,154
τότε,then,Adv,G5119,2 Thessalonians 2,155
ἄνομος,lawless one,Adj-NMS,G459,2 Thessalonians 2,156
ἀνελεῖ,will slay,V-FIA-3S,G337,2 Thessalonians 2,157
στόματος,mouth,N-GNS,G4750,2 Thessalonians 2,158
καταργήσει,will annul,V-FIA-3S,G2673,2 Thessalonians 2,159
ἐπιφανείᾳ,appearing,N-DFS,G2015,2 Thessalonians 2,160
ἐνέργειαν,the working,N-AFS,G1753,2 Thessalonians 2,161
Σατανᾶ,of Satan,N-GMS,G4567,2 Thessalonians 2,162
σημείοις,in signs,N-DNP,G4592,2 Thessalonians 2,163
τέρασιν,in wonders,N-DNP,G5059,2 Thessalonians 2,164
ψεύδους,of falsehood,N-GNS,G5579,2 Thessalonians 2,165
ἀπάτῃ,deceit,N-DFS,G539,2 Thessalonians 2,166
ἀδικίας,of wickedness,N-GFS,G93,2 Thessalonians 2,167
ἀπολλυμένοις,perishing,V-PPM/P-DMP,G622,2 Thessalonians 2,168
ἀνθ,in return for,Prep,G473,2 Thessalonians 2,169
ἀληθείας,truth,N-GFS,G225,2 Thessalonians 2,170
ἐδέξαντο,they received,V-AIM-3P,G1209,2 Thessalonians 2,171
σωθῆναι,to be saved,V-ANP,G4982,2 Thessalonians 2,172
πέμπει,will send,V-PIA-3S,G3992,2 Thessalonians 2,173
πλάνης,of delusion,N-GFS,G4106,2 Thessalonians 2,174
κριθῶσιν,should be judged,V-ASP-3P,G2919,2 Thessalonians 2,175
ἀλλὰ,but,Conj,G235,2 Thessalonians 2,176
εὐδοκήσαντες,having delighted,V-APA-NMP,G2106,2 Thessalonians 2,177
ἠγαπημένοι,beloved,V-RPM/P-VMP,G25,2 Thessalonians 2,178
ὑπὸ,by,Prep,G5259,2 Thessalonians 2,179
εἵλατο,has chosen,V-AIM-3S,G138,2 Thessalonians 2,180
ἀρχῆς,the beginning,N-GFS,G746,2 Thessalonians 2,181
σωτηρίαν,salvation,N-AFS,G4991,2 Thessalonians 2,182
ἁγιασμῷ,the sanctification,N-DMS,G38,2 Thessalonians 2,183
ἐκάλεσεν,He called,V-AIA-3S,G2564,2 Thessalonians 2,184
περιποίησιν,the obtaining,N-AFS,G4047,2 Thessalonians 2,185
Ἄρα,So,Conj,G686,2 Thessalonians 2,186
οὖν,then,Conj,G3767,2 Thessalonians 2,187
