Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
μονογενοῦς,of an only begotten,Adj-GMS,G3439,John 1,104
Πατρός,the Father,N-GMS,G3962,John 1,105
πλήρης,full,Adj-NMS,G4134,John 1,106
χάριτος,of grace,N-GFS,G5485,John 1,107
ἀληθείας,truth,N-GFS,G225,John 1,108
μαρτυρεῖ,witnesses,V-PIA-3S,G3140,John 1,109
κέκραγεν,he cried out,V-RIA-3S,G2896,John 1,110
λέγων,saying,V-PPA-NMS,G3004,John 1,111
ὃν,of whom,RelPro-AMS,G3739,John 1,112
εἶπον,I was saying,V-AIA-1S,G2036,John 1,113
Ὁ,The One,Art-NMS,G3588,John 1,114
ὀπίσω,after,Prep,G3694,John 1,115
μου,me,PPro-G1S,G1473,John 1,116
ἐρχόμενος,coming,V-PPM/P-NMS,G2064,John 1,117
ἔμπροσθέν,precedence,Prep,G1715,John 1,118
ὅτι,because,Conj,G3754,John 1,119
πρῶτός,before,Adj-NMS,G4413,John 1,120
Ὅτι,For,Conj,G3754,John 1,121
πληρώματος,fullness,N-GNS,G4138,John 1,122
ἡμεῖς,we,PPro-N1P,G1473,John 1,123
ἐλάβομεν,have received,V-AIA-1P,G2983,John 1,124
χάριν,grace,N-AFS,G5485,John 1,125
ἀντὶ,for,Prep,G473,John 1,126
νόμος,law,N-NMS,G3551,John 1,127
διὰ,through,Prep,G1223,John 1,128
Μωϋσέως,Moses,N-GMS,G3475,John 1,129
ἐδόθη,was given,V-AIP-3S,G1325,John 1,130
χάρις,grace,N-NFS,G5485,John 1,131
ἀλήθεια,truth,N-NFS,G225,John 1,132
Ἰησοῦ,Jesus,N-GMS,G2424,John 1,133
Χριστοῦ,Christ,N-GMS,G5547,John 1,134
Θεὸν,God,N-AMS,G2316,John 1,135
οὐδεὶς,no one,Adj-NMS,G3762,John 1,136
ἑώρακεν,has seen,V-RIA-3S,G3708,John 1,137
πώποτε,ever yet,Adv,G4455,John 1,138
μονογενὴς,the only begotten,Adj-NMS,G3439,John 1,139
ὢν,being,V-PPA-NMS,G1510,John 1,140
κόλπον,bosom,N-AMS,G2859,John 1,141
τοῦ,of the,Art-GMS,G3588,John 1,142
Πατρὸς,Father,N-GMS,G3962,John 1,143
ἐξηγήσατο,has made Him known,V-AIM-3S,G1834,John 1,144
αὕτη,this,DPro-NFS,G3778,John 1,145
ἐστὶν,is,V-PIA-3S,G1510,John 1,146
μαρτυρία,testimony,N-NFS,G3141,John 1,147
Ἰωάννου,of John,N-GMS,G2491,John 1,148
ὅτε,when,Adv,G3753,John 1,149
ἀπέστειλαν,sent,V-AIA-3P,G649,John 1,150
Ἰουδαῖοι,Jews,Adj-NMP,G2453,John 1,151
Ἱεροσολύμων,Jerusalem,N-GNP,G2414,John 1,152
ἱερεῖς,priests,N-AMP,G2409,John 1,153
Λευίτας,Levites,N-AMP,G3019,John 1,154
ἐρωτήσωσιν,they might ask,V-ASA-3P,G2065,John 1,155
Σὺ,You,PPro-N2S,G4771,John 1,156
τίς,who,IPro-NMS,G5101,John 1,157
εἶ,are,V-PIA-2S,G1510,John 1,158
ὡμολόγησεν,he confessed,V-AIA-3S,G3670,John 1,159
ἠρνήσατο,denied,V-AIM-3S,G720,John 1,160
Ἐγὼ,I,PPro-N1S,G1473,John 1,161
εἰμὶ,am,V-PIA-1S,G1510,John 1,162
Χριστός,Christ,N-NMS,G5547,John 1,163
ἠρώτησαν,they asked,V-AIA-3P,G2065,John 1,164
Τί,What,IPro-NNS,G5101,John 1,165
οὖν,then,Conj,G3767,John 1,166
σὺ,You,PPro-N2S,G4771,John 1,167
Ἠλίας,Elijah,N-NMS,G2243,John 1,168
λέγει,he says,V-PIA-3S,G3004,John 1,169
Οὐκ,Not,Adv,G3756,John 1,170
εἰμί,I am,V-PIA-1S,G1510,John 1,171
προφήτης,Prophet,N-NMS,G4396,John 1,172
σύ,you,PPro-N2S,G4771,John 1,173
ἀπεκρίθη,he answered,V-AIP-3S,G611,John 1,174
Οὔ,No,Adv,G3756,John 1,175
Εἶπαν,They said,V-AIA-3P,G2036,John 1,176
Τίς,Who,IPro-NMS,G5101,John 1,177
ἀπόκρισιν,an answer,N-AFS,G612,John 1,178
δῶμεν,we might give,V-ASA-1P,G1325,John 1,179
πέμψασιν,having sent,V-APA-DMP,G3992,John 1,180
ἡμᾶς,us,PPro-A1P,G1473,John 1,181
τί,what,IPro-ANS,G5101,John 1,182
λέγεις,say you,V-PIA-2S,G3004,John 1,183
σεαυτοῦ,yourself,PPro-GM2S,G4572,John 1,184
Ἔφη,He was saying,V-IIA-3S,G5346,John 1,185
φωνὴ,a voice,N-NFS,G5456,John 1,186
βοῶντος,crying,V-PPA-GMS,G994,John 1,187
ἐρήμῳ,wilderness,Adj-DFS,G2048,John 1,188
Εὐθύνατε,Make straight,V-AMA-2P,G2116,John 1,189
ὁδὸν,way,N-AFS,G3598,John 1,190
Κυρίου,of the Lord,N-GMS,G2962,John 1,191
καθὼς,as,Adv,G2531,John 1,192
εἶπεν,said,V-AIA-3S,G2036,John 1,193
Ἠσαΐας,Isaiah,N-NMS,G2268,John 1,194
ἀπεσταλμένοι,those having been sent,V-RPM/P-NMP,G649,John 1,195
ἦσαν,were,V-IIA-3P,G1510,John 1,196
Φαρισαίων,Pharisees,N-GMP,G5330,John 1,197
εἶπαν,said,V-AIA-3P,G2036,John 1,198
Τί,Why,IPro-ANS,G5101,John 1,199
βαπτίζεις,baptize you,V-PIA-2S,G907,John 1,200
εἰ,if,Conj,G1487,John 1,201
Χριστὸς,Christ,N-NMS,G5547,John 1,202
Ἀπεκρίθη,Answered,V-AIP-3S,G611,John 1,203
βαπτίζω,baptize,V-PIA-1S,G907,John 1,204
ὕδατι,water,N-DNS,G5204,John 1,205
μέσος,but in the midst,Adj-NMS,G3319,John 1,206
ὑμῶν,of you,PPro-G2P,G4771,John 1,207
ἕστηκεν,stands One,V-RIA-3S,G2476,John 1,208
ὑμεῖς,you,PPro-N2P,G4771,John 1,209
οἴδατε,know,V-RIA-2P,G1492,John 1,210
οὗ,of whom,RelPro-GMS,G3739,John 1,211
ἐγὼ,I,PPro-N1S,G1473,John 1,212
ἄξιος,worthy,Adj-NMS,G514,John 1,213
λύσω,I should untie,V-ASA-1S,G3089,John 1,214
ἱμάντα,strap,N-AMS,G2438,John 1,215
