Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
δοῦλον,a slave,N-AMS,G1401,Philemon 1,103
μάλιστα,especially,Adv,G3122,Philemon 1,104
πόσῳ,how much,IPro-DNS,G4214,Philemon 1,105
σαρκὶ,the flesh,N-DFS,G4561,Philemon 1,106
Εἰ,If,Conj,G1487,Philemon 1,107
οὖν,therefore,Conj,G3767,Philemon 1,108
κοινωνόν,a partner,N-AMS,G2844,Philemon 1,109
προσλαβοῦ,receive,V-AMM-2S,G4355,Philemon 1,110
τι,in any way,IPro-ANS,G5100,Philemon 1,111
ἠδίκησέν,he has wronged,V-AIA-3S,G91,Philemon 1,112
ἢ,or,Conj,G2228,Philemon 1,113
ὀφείλει,he owes you,V-PIA-3S,G3784,Philemon 1,114
ἐλλόγα,charge,V-PMA-2S,G1677,Philemon 1,115
ἔγραψα,did write,V-AIA-1S,G1125,Philemon 1,116
χειρί,hand,N-DFS,G5495,Philemon 1,117
ἀποτίσω,will repay it,V-FIA-1S,G661,Philemon 1,118
λέγω,I may say,V-PSA-1S,G3004,Philemon 1,119
σεαυτόν,yourself,PPro-AM2S,G4572,Philemon 1,120
προσοφείλεις,you owe also,V-PIA-2S,G4359,Philemon 1,121
Ναί,Yes,Prtcl,G3483,Philemon 1,122
ὀναίμην,may have profit,V-AOM-1S,G3685,Philemon 1,123
Πεποιθὼς,Being persuaded of,V-RPA-NMS,G3982,Philemon 1,124
ὑπακοῇ,obedience,N-DFS,G5218,Philemon 1,125
εἰδὼς,knowing,V-RPA-NMS,G1492,Philemon 1,126
Ἅμα,At the same time,Adv,G260,Philemon 1,127
ἑτοίμαζέ,prepare,V-PMA-2S,G2090,Philemon 1,128
ξενίαν,a lodging,N-AFS,G3578,Philemon 1,129
ἐλπίζω,I hope,V-PIA-1S,G1679,Philemon 1,130
χαρισθήσομαι,I will be granted,V-FIP-1S,G5483,Philemon 1,131
Ἀσπάζεταί,Greets,V-PIM/P-3S,G782,Philemon 1,132
Ἐπαφρᾶς,Epaphras,N-NMS,G1889,Philemon 1,133
συναιχμάλωτός,fellow prisoner,N-NMS,G4869,Philemon 1,134
Μᾶρκος,as do Mark,N-NMS,G3138,Philemon 1,135
Ἀρίσταρχος,Aristarchus,N-NMS,G708,Philemon 1,136
Δημᾶς,Demas,N-NMS,G1214,Philemon 1,137
Λουκᾶς,and Luke,N-NMS,G3065,Philemon 1,138
μετὰ,be with,Prep,G3326,Philemon 1,139
πνεύματος,spirit,N-GNS,G4151,Philemon 1,140
Ἀμήν,Amen,Heb,G281,Philemon 1,141
