Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
τούτοις,these,DPro-DNP,G3778,3 John 1,105
οὔτε,neither,Conj,G3777,3 John 1,106
αὐτὸς,himself,PPro-NM3S,G846,3 John 1,107
βουλομένους,purposing,V-PPM/P-AMP,G1014,3 John 1,108
κωλύει,he forbids,V-PIA-3S,G2967,3 John 1,109
ἐκ,from,Prep,G1537,3 John 1,110
τῆς,the,Art-GFS,G3588,3 John 1,111
ἐκβάλλει,he casts them out,V-PIA-3S,G1544,3 John 1,112
μιμοῦ,do imitate,V-PMM/P-2S,G3401,3 John 1,113
τὸ,what is,Art-ANS,G3588,3 John 1,114
κακὸν,evil,Adj-ANS,G2556,3 John 1,115
ἀλλὰ,but,Conj,G235,3 John 1,116
ἀγαθόν,good,Adj-ANS,G18,3 John 1,117
ἀγαθοποιῶν,doing good,V-PPA-NMS,G15,3 John 1,118
ἐστιν,is,V-PIA-3S,G1510,3 John 1,119
κακοποιῶν,doing evil,V-PPA-NMS,G2554,3 John 1,120
οὐχ,not,Adv,G3756,3 John 1,121
ἑώρακεν,has seen,V-RIA-3S,G3708,3 John 1,122
τὸν,-,Art-AMS,G3588,3 John 1,123
Θεόν,God,N-AMS,G2316,3 John 1,124
Δημητρίῳ,To Demetrius,N-DMS,G1216,3 John 1,125
μεμαρτύρηται,witness has been given,V-RIM/P-3S,G3140,3 John 1,126
ὑπὸ,by,Prep,G5259,3 John 1,127
πάντων,all,Adj-GMP,G3956,3 John 1,128
αὐτῆς,itself,PPro-GF3S,G846,3 John 1,129
ἀληθείας,truth,N-GFS,G225,3 John 1,130
δὲ,also,Conj,G1161,3 John 1,131
μαρτυροῦμεν,bear witness,V-PIA-1P,G3140,3 John 1,132
οἶδας,you know,V-RIA-2S,G1492,3 John 1,133
ὅτι,that,Conj,G3754,3 John 1,134
μαρτυρία,testimony,N-NFS,G3141,3 John 1,135
ἡμῶν,of us,PPro-G1P,G1473,3 John 1,136
ἀληθής,TRUE,Adj-NFS,G227,3 John 1,137
Πολλὰ,Many things,Adj-ANP,G4183,3 John 1,138
εἶχον,I had,V-IIA-1S,G2192,3 John 1,139
γράψαι,to write,V-ANA,G1125,3 John 1,140
σοι,to you,PPro-D2S,G4771,3 John 1,141
οὐ,not,Adv,G3756,3 John 1,142
θέλω,I desire,V-PIA-1S,G2309,3 John 1,143
μέλανος,ink,N-GNS,G3188,3 John 1,144
καλάμου,pen,N-GMS,G2563,3 John 1,145
γράφειν,to write,V-PNA,G1125,3 John 1,146
ἐλπίζω,I hope,V-PIA-1S,G1679,3 John 1,147
εὐθέως,soon,Adv,G2112,3 John 1,148
ἰδεῖν,to see,V-ANA,G3708,3 John 1,149
στόμα,mouth,N-ANS,G4750,3 John 1,150
πρὸς,to,Prep,G4314,3 John 1,151
λαλήσομεν,we will speak,V-FIA-1P,G2980,3 John 1,152
Εἰρήνη,Peace,N-NFS,G1515,3 John 1,153
Ἀσπάζονταί,Greet,V-PIM/P-3P,G782,3 John 1,154
οἱ,the,Art-NMP,G3588,3 John 1,155
φίλοι,friends,Adj-NMP,G5384,3 John 1,156
Ἀσπάζου,Greet,V-PMM/P-2S,G782,3 John 1,157
φίλους,friends,Adj-AMP,G5384,3 John 1,158
κατ,by,Prep,G2596,3 John 1,159
ὄνομα,name,N-ANS,G3686,3 John 1,160
