Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
μὲν,indeed,Conj,G3303,Jude 1,104
μιαίνουσιν,defile,V-PIA-3P,G3392,Jude 1,105
κυριότητα,authority,N-AFS,G2963,Jude 1,106
ἀθετοῦσιν,set aside,V-PIA-3P,G114,Jude 1,107
δόξας,glorious ones,N-AFP,G1391,Jude 1,108
βλασφημοῦσιν,blaspheme,V-PIA-3P,G987,Jude 1,109
Μιχαὴλ,Michael,N-NMS,G3413,Jude 1,110
ἀρχάγγελος,archangel,N-NMS,G743,Jude 1,111
ὅτε,when,Adv,G3753,Jude 1,112
διαβόλῳ,devil,Adj-DMS,G1228,Jude 1,113
διακρινόμενος,disputing,V-PPM-NMS,G1252,Jude 1,114
διελέγετο,he was reasoning,V-IIM/P-3S,G1256,Jude 1,115
Μωϋσέως,Moses’,N-GMS,G3475,Jude 1,116
σώματος,body,N-GNS,G4983,Jude 1,117
οὐκ,not,Adv,G3756,Jude 1,118
ἐτόλμησεν,did dare,V-AIA-3S,G5111,Jude 1,119
ἐπενεγκεῖν,to bring against him,V-ANA,G2018,Jude 1,120
βλασφημίας,blasphemous,N-GFS,G988,Jude 1,121
εἶπεν,said,V-AIA-3S,G2036,Jude 1,122
Ἐπιτιμήσαι,Rebuke,V-AOA-3S,G2008,Jude 1,123
ὅσα,whatever things,RelPro-ANP,G3745,Jude 1,124
φυσικῶς,naturally,Adv,G5447,Jude 1,125
ἄλογα,irrational,Adj-NNP,G249,Jude 1,126
ζῷα,animals,N-NNP,G2226,Jude 1,127
ἐπίστανται,they understand,V-PIM/P-3P,G1987,Jude 1,128
φθείρονται,they corrupt themselves,V-PIM/P-3P,G5351,Jude 1,129
οὐαὶ,Woe,I,G3759,Jude 1,130
ὁδῷ,way,N-DFS,G3598,Jude 1,131
Κάϊν,of Cain,N-GMS,G2535,Jude 1,132
ἐπορεύθησαν,they went,V-AIP-3P,G4198,Jude 1,133
πλάνῃ,error,N-DFS,G4106,Jude 1,134
Βαλαὰμ,of Balaam,N-GMS,G903,Jude 1,135
μισθοῦ,for reward,N-GMS,G3408,Jude 1,136
ἐξεχύθησαν,they rushed,V-AIP-3P,G1632,Jude 1,137
ἀντιλογίᾳ,rebellion,N-DFS,G485,Jude 1,138
Κόρε,of Korah,N-GMS,G2879,Jude 1,139
εἰσιν,are,V-PIA-3P,G1510,Jude 1,140
σπιλάδες,hidden reefs,N-NFP,G4694,Jude 1,141
