Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Πέτρος,Peter,N-NMS,G4074,1 Peter 1,1
ἀπόστολος,an apostle,N-NMS,G652,1 Peter 1,2
Ἰησοῦ,of Jesus,N-GMS,G2424,1 Peter 1,3
Χριστοῦ,Christ,N-GMS,G5547,1 Peter 1,4
Ἐκλεκτοῖς,To the elect,Adj-DMP,G1588,1 Peter 1,5
παρεπιδήμοις,sojourners,Adj-DMP,G3927,1 Peter 1,6
Διασπορᾶς,of the Dispersion,N-GFS,G1290,1 Peter 1,7
Πόντου,of Pontus,N-GMS,G4195,1 Peter 1,8
Γαλατίας,Galatia,N-GFS,G1053,1 Peter 1,9
Καππαδοκίας,Cappadocia,N-GFS,G2587,1 Peter 1,10
Ἀσίας,Asia,N-GFS,G773,1 Peter 1,11
καὶ,and,Conj,G2532,1 Peter 1,12
Βιθυνίας,Bithynia,N-GFS,G978,1 Peter 1,13
κατὰ,according to,Prep,G2596,1 Peter 1,14
πρόγνωσιν,the foreknowledge,N-AFS,G4268,1 Peter 1,15
Θεοῦ,of God,N-GMS,G2316,1 Peter 1,16
Πατρός,the Father,N-GMS,G3962,1 Peter 1,17
ἐν,by,Prep,G1722,1 Peter 1,18
ἁγιασμῷ,the sanctification,N-DMS,G38,1 Peter 1,19
Πνεύματος,of the Spirit,N-GNS,G4151,1 Peter 1,20
εἰς,unto,Prep,G1519,1 Peter 1,21
ὑπακοὴν,the obedience,N-AFS,G5218,1 Peter 1,22
ῥαντισμὸν,sprinkling,N-AMS,G4473,1 Peter 1,23
αἵματος,of the blood,N-GNS,G129,1 Peter 1,24
Χάρις,Grace,N-NFS,G5485,1 Peter 1,25
ὑμῖν,to you,PPro-D2P,G4771,1 Peter 1,26
εἰρήνη,peace,N-NFS,G1515,1 Peter 1,27
πληθυνθείη,may be multiplied,V-AOP-3S,G4129,1 Peter 1,28
Εὐλογητὸς,Blessed be,Adj-NMS,G2128,1 Peter 1,29
ὁ,the,Art-NMS,G3588,1 Peter 1,30
Κυρίου,Lord,N-GMS,G2962,1 Peter 1,31
ἡμῶν,of us,PPro-G1P,G1473,1 Peter 1,32
πολὺ,great,Adj-ANS,G4183,1 Peter 1,33
αὐτοῦ,of Him,PPro-GM3S,G846,1 Peter 1,34
ἔλεος,mercy,N-ANS,G1656,1 Peter 1,35
ἀναγεννήσας,having begotten again,V-APA-NMS,G313,1 Peter 1,36
ἐλπίδα,a hope,N-AFS,G1680,1 Peter 1,37
ζῶσαν,living,V-PPA-AFS,G2198,1 Peter 1,38
δι,through,Prep,G1223,1 Peter 1,39
ἀναστάσεως,the resurrection,N-GFS,G386,1 Peter 1,40
ἐκ,out from,Prep,G1537,1 Peter 1,41
νεκρῶν,the dead,Adj-GMP,G3498,1 Peter 1,42
κληρονομίαν,an inheritance,N-AFS,G2817,1 Peter 1,43
ἄφθαρτον,imperishable,Adj-AFS,G862,1 Peter 1,44
ἀμίαντον,undefiled,Adj-AFS,G283,1 Peter 1,45
ἀμάραντον,unfading,Adj-AFS,G263,1 Peter 1,46
τετηρημένην,being reserved,V-RPM/P-AFS,G5083,1 Peter 1,47
οὐρανοῖς,the heavens,N-DMP,G3772,1 Peter 1,48
δυνάμει,the power,N-DFS,G1411,1 Peter 1,49
