Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
βλέπεις,you see,V-PIA-2S,G991,Revelation 1,103
βιβλίον,a book,N-ANS,G975,Revelation 1,104
πέμψον,send,V-AMA-2S,G3992,Revelation 1,105
Ἔφεσον,Ephesus,N-AFS,G2181,Revelation 1,106
Σμύρναν,Smyrna,N-AFS,G4667,Revelation 1,107
Πέργαμον,Pergamum,N-AFS,G4010,Revelation 1,108
Θυάτειρα,Thyatira,N-ANP,G2363,Revelation 1,109
Σάρδεις,Sardis,N-AFP,G4554,Revelation 1,110
Φιλαδέλφειαν,Philadelphia,N-AFS,G5359,Revelation 1,111
Λαοδίκειαν,Laodicea,N-AFS,G2993,Revelation 1,112
ἐπέστρεψα,I turned,V-AIA-1S,G1994,Revelation 1,113
ἐλάλει,was speaking,V-IIA-3S,G2980,Revelation 1,114
λυχνίας,lampstands,N-AFP,G3087,Revelation 1,115
χρυσᾶς,golden,Adj-AFP,G5552,Revelation 1,116
μέσῳ,the midst,Adj-DNS,G3319,Revelation 1,117
ὅμοιον,One like,Adj-AMS,G3664,Revelation 1,118
υἱὸν,the Son,N-AMS,G5207,Revelation 1,119
ἀνθρώπου,of Man,N-GMS,G444,Revelation 1,120
ἐνδεδυμένον,having been clothed,V-RPM-AMS,G1746,Revelation 1,121
ποδήρη,to the feet,Adj-AMS,G4158,Revelation 1,122
περιεζωσμένον,having been girded about,V-RPM/P-AMS,G4024,Revelation 1,123
πρὸς,at,Prep,G4314,Revelation 1,124
μαστοῖς,breasts,N-DMP,G3149,Revelation 1,125
ζώνην,with a sash,N-AFS,G2223,Revelation 1,126
δὲ,And,Conj,G1161,Revelation 1,127
κεφαλὴ,the head,N-NFS,G2776,Revelation 1,128
τρίχες,hairs,N-NFP,G2359,Revelation 1,129
λευκαὶ,are white,Adj-NFP,G3022,Revelation 1,130
ἔριον,wool,N-NNS,G2053,Revelation 1,131
χιών,snow,N-NFS,G5510,Revelation 1,132
φλὸξ,a flame,N-NFS,G5395,Revelation 1,133
πυρός,of fire,N-GNS,G4442,Revelation 1,134
πόδες,feet,N-NMP,G4228,Revelation 1,135
χαλκολιβάνῳ,fine bronze,N-DNS,G5474,Revelation 1,136
καμίνῳ,a furnace,N-DFS,G2575,Revelation 1,137
πεπυρωμένης,having been refined,V-RPM/P-GFS,G4448,Revelation 1,138
ὑδάτων,of waters,N-GNP,G5204,Revelation 1,139
πολλῶν,many,Adj-GNP,G4183,Revelation 1,140
ἔχων,He is holding,V-PPA-NMS,G2192,Revelation 1,141
δεξιᾷ,right,Adj-DFS,G1188,Revelation 1,142
χειρὶ,hand,N-DFS,G5495,Revelation 1,143
ἀστέρας,stars,N-AMP,G792,Revelation 1,144
στόματος,mouth,N-GNS,G4750,Revelation 1,145
ῥομφαία,a sword,N-NFS,G4501,Revelation 1,146
δίστομος,two-edged,Adj-NFS,G1366,Revelation 1,147
ὀξεῖα,sharp,Adj-NFS,G3691,Revelation 1,148
ἐκπορευομένη,is going forth,V-PPM/P-NFS,G1607,Revelation 1,149
ὄψις,face,N-NFS,G3799,Revelation 1,150
ἥλιος,sun,N-NMS,G2246,Revelation 1,151
φαίνει,shining,V-PIA-3S,G5316,Revelation 1,152
δυνάμει,full strength,N-DFS,G1411,Revelation 1,153
ὅτε,when,Adv,G3753,Revelation 1,154
ἔπεσα,I fell,V-AIA-1S,G4098,Revelation 1,155
ἔθηκεν,He placed,V-AIA-3S,G5087,Revelation 1,156
Μὴ,Not,Adv,G3361,Revelation 1,157
φοβοῦ,fear,V-PMM/P-2S,G5399,Revelation 1,158
Ζῶν,Living One,V-PPA-NMS,G2198,Revelation 1,159
κλεῖς,keys,N-AFP,G2807,Revelation 1,160
θανάτου,Death,N-GMS,G2288,Revelation 1,161
ᾅδου,Hades,N-GMS,G86,Revelation 1,162
οὖν,therefore,Conj,G3767,Revelation 1,163
μέλλει,are about,V-PIA-3S,G3195,Revelation 1,164
ταῦτα,these,DPro-ANP,G3778,Revelation 1,165
μυστήριον,mystery,N-NNS,G3466,Revelation 1,166
Τάδε,These things,DPro-ANP,G3592,Revelation 2,167
κρατῶν,holding,V-PPA-NMS,G2902,Revelation 2,168
περιπατῶν,walking,V-PPA-NMS,G4043,Revelation 2,169
Οἶδα,I know,V-RIA-1S,G1492,Revelation 2,170
ἔργα,works,N-ANP,G2041,Revelation 2,171
κόπον,labor,N-AMS,G2873,Revelation 2,172
ὅτι,that,Conj,G3754,Revelation 2,173
