Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ἐδίωκον,I was persecuting,V-IIA-1S,G1377,Galatians 1,92
ἐπόρθουν,was destroying,V-IIA-1S,G4199,Galatians 1,93
προέκοπτον,I was advancing,V-IIA-1S,G4298,Galatians 1,94
πολλοὺς,many,Adj-AMP,G4183,Galatians 1,95
συνηλικιώτας,contemporaries,N-AMP,G4915,Galatians 1,96
γένει,countrymen,N-DNS,G1085,Galatians 1,97
περισσοτέρως,more abundantly,Adv,G4057,Galatians 1,98
ζηλωτὴς,zealous,N-NMS,G2207,Galatians 1,99
ὑπάρχων,being,V-PPA-NMS,G5225,Galatians 1,100
πατρικῶν,fathers,Adj-GFP,G3967,Galatians 1,101
παραδόσεων,traditions,N-GFP,G3862,Galatians 1,102
Ὅτε,When,Adv,G3753,Galatians 1,103
δὲ,however,Conj,G1161,Galatians 1,104
εὐδόκησεν,was pleased,V-AIA-3S,G2106,Galatians 1,105
ἀφορίσας,having selected,V-APA-NMS,G873,Galatians 1,106
κοιλίας,the womb,N-GFS,G2836,Galatians 1,107
μητρός,of mother,N-GFS,G3384,Galatians 1,108
ἀποκαλύψαι,to reveal,V-ANA,G601,Galatians 1,109
Υἱὸν,Son,N-AMS,G5207,Galatians 1,110
ἵνα,that,Conj,G2443,Galatians 1,111
ἔθνεσιν,Gentiles,N-DNP,G1484,Galatians 1,112
εὐθέως,immediately,Adv,G2112,Galatians 1,113
προσανεθέμην,I consulted,V-AIM-1S,G4323,Galatians 1,114
σαρκὶ,with flesh,N-DFS,G4561,Galatians 1,115
αἵματι,blood,N-DNS,G129,Galatians 1,116
ἀνῆλθον,did I go up,V-AIA-1S,G424,Galatians 1,117
Ἱεροσόλυμα,Jerusalem,N-ANP,G2414,Galatians 1,118
πρὸς,to,Prep,G4314,Galatians 1,119
πρὸ,before,Prep,G4253,Galatians 1,120
ἀπῆλθον,I went away,V-AIA-1S,G565,Galatians 1,121
Ἀραβίαν,Arabia,N-AFS,G688,Galatians 1,122
ὑπέστρεψα,returned,V-AIA-1S,G5290,Galatians 1,123
Δαμασκόν,Damascus,N-AFS,G1154,Galatians 1,124
Ἔπειτα,Then,Adv,G1899,Galatians 1,125
μετὰ,after,Prep,G3326,Galatians 1,126
τρία ,three,Adj-ANP,G5140,Galatians 1,127
ἔτη,years,N-ANP,G2094,Galatians 1,128
ἱστορῆσαι,to make acquaintance with,V-ANA,G2477,Galatians 1,129
Κηφᾶν,Cephas,N-AMS,G2786,Galatians 1,130
ἐπέμεινα,I remained,V-AIA-1S,G1961,Galatians 1,131
ἡμέρας,days,N-AFP,G2250,Galatians 1,132
δεκαπέντε,fifteen,Adj-AFP,G1178,Galatians 1,133
εἶδον,I saw,V-AIA-1S,G3708,Galatians 1,134
Ἰάκωβον,James,N-AMS,G2385,Galatians 1,135
γράφω,I write,V-PIA-1S,G1125,Galatians 1,136
ἰδοὺ,behold,V-AMA-2S,G2400,Galatians 1,137
ἐνώπιον,before,Prep,G1799,Galatians 1,138
ψεύδομαι,I lie,V-PIM/P-1S,G5574,Galatians 1,139
ἦλθον,I went,V-AIA-1S,G2064,Galatians 1,140
κλίματα,regions,N-ANP,G2824,Galatians 1,141
Συρίας,of Syria,N-GFS,G4947,Galatians 1,142
Κιλικίας,Cilicia,N-GFS,G2791,Galatians 1,143
ἀγνοούμενος,unknown,V-PPM/P-NMS,G50,Galatians 1,144
προσώπῳ,by face,N-DNS,G4383,Galatians 1,145
Ἰουδαίας,of Judea,N-GFS,G2449,Galatians 1,146
μόνον,Only,Adv,G3440,Galatians 1,147
νῦν,now,Adv,G3568,Galatians 1,148
πίστιν,faith,N-AFS,G4102,Galatians 1,149
ἐδόξαζον,they were glorifying,V-IIA-3P,G1392,Galatians 1,150
δεκατεσσάρων,fourteen,Adj-GNP,G1180,Galatians 2,151
ἀνέβην,I went up,V-AIA-1S,G305,Galatians 2,152
Βαρνάβα,Barnabas,N-GMS,G921,Galatians 2,153
συμπαραλαβὼν,having taken with me,V-APA-NMS,G4838,Galatians 2,154
Τίτον,Titus,N-AMS,G5103,Galatians 2,155
ἀνεθέμην,set before,V-AIM-1S,G394,Galatians 2,156
κηρύσσω,I proclaim,V-PIA-1S,G2784,Galatians 2,157
ἰδίαν,individually,Adj-AFS,G2398,Galatians 2,158
δοκοῦσιν,esteemed,V-PPA-DMP,G1380,Galatians 2,159
πως,hardly,Adv,G4459,Galatians 2,160
κενὸν,vain,Adj-ANS,G2756,Galatians 2,161
τρέχω,I should be running,V-PSA-1S,G5143,Galatians 2,162
Ἕλλην,a Greek,N-NMS,G1672,Galatians 2,163
ἠναγκάσθη,was compelled,V-AIP-3S,G315,Galatians 2,164
περιτμηθῆναι,to be circumcised,V-ANP,G4059,Galatians 2,165
παρεισάκτους,brought in secretly,Adj-AMP,G3920,Galatians 2,166
ψευδαδέλφους,false brothers,N-AMP,G5569,Galatians 2,167
οἵτινες,who,RelPro-NMP,G3748,Galatians 2,168
παρεισῆλθον,came in by stealth,V-AIA-3P,G3922,Galatians 2,169
