Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,Colossians 1,1
ἀπόστολος,an apostle,N-NMS,G652,Colossians 1,2
Χριστοῦ,of Christ,N-GMS,G5547,Colossians 1,3
Ἰησοῦ,Jesus,N-GMS,G2424,Colossians 1,4
διὰ,by,Prep,G1223,Colossians 1,5
θελήματος,the will,N-GNS,G2307,Colossians 1,6
Θεοῦ,of God,N-GMS,G2316,Colossians 1,7
καὶ,and,Conj,G2532,Colossians 1,8
Τιμόθεος,Timothy,N-NMS,G5095,Colossians 1,9
ὁ,the,Art-NMS,G3588,Colossians 1,10
ἀδελφὸς,brother,N-NMS,G80,Colossians 1,11
Τοῖς,To the,Art-DMP,G3588,Colossians 1,12
ἐν,in,Prep,G1722,Colossians 1,13
Κολοσσαῖς,Colossae,N-DFP,G2857,Colossians 1,14
ἁγίοις,saints,Adj-DMP,G40,Colossians 1,15
πιστοῖς,faithful,Adj-DMP,G4103,Colossians 1,16
ἀδελφοῖς,brothers,N-DMP,G80,Colossians 1,17
Χριστῷ,Christ,N-DMS,G5547,Colossians 1,18
Χάρις,Grace,N-NFS,G5485,Colossians 1,19
ὑμῖν,to you,PPro-D2P,G4771,Colossians 1,20
εἰρήνη,peace,N-NFS,G1515,Colossians 1,21
ἀπὸ,from,Prep,G575,Colossians 1,22
Πατρὸς,the Father,N-GMS,G3962,Colossians 1,23
ἡμῶν,of us,PPro-G1P,G1473,Colossians 1,24
Εὐχαριστοῦμεν,We give thanks,V-PIA-1P,G2168,Colossians 1,25
τῷ,to the,Art-DMS,G3588,Colossians 1,26
Θεῷ,God,N-DMS,G2316,Colossians 1,27
Πατρὶ,and Father,N-DMS,G3962,Colossians 1,28
τοῦ,of the,Art-GMS,G3588,Colossians 1,29
Κυρίου,Lord,N-GMS,G2962,Colossians 1,30
πάντοτε,continually,Adv,G3842,Colossians 1,31
περὶ,for,Prep,G4012,Colossians 1,32
ὑμῶν,you,PPro-G2P,G4771,Colossians 1,33
προσευχόμενοι,praying,V-PPM/P-NMP,G4336,Colossians 1,34
ἀκούσαντες,having heard of,V-APA-NMP,G191,Colossians 1,35
τὴν,the,Art-AFS,G3588,Colossians 1,36
πίστιν,faith,N-AFS,G4102,Colossians 1,37
Ἰησοῦ,Jesus,N-DMS,G2424,Colossians 1,38
ἀγάπην,love,N-AFS,G26,Colossians 1,39
ἣν,that,RelPro-AFS,G3739,Colossians 1,40
ἔχετε,you have,V-PIA-2P,G2192,Colossians 1,41
εἰς,toward,Prep,G1519,Colossians 1,42
πάντας,all,Adj-AMP,G3956,Colossians 1,43
τοὺς,the,Art-AMP,G3588,Colossians 1,44
ἁγίους,saints,Adj-AMP,G40,Colossians 1,45
ἐλπίδα,hope,N-AFS,G1680,Colossians 1,46
ἀποκειμένην,being laid up,V-PPM/P-AFS,G606,Colossians 1,47
τοῖς,the,Art-DMP,G3588,Colossians 1,48
οὐρανοῖς,heavens,N-DMP,G3772,Colossians 1,49
προηκούσατε,you heard of before,V-AIA-2P,G4257,Colossians 1,50
λόγῳ,word,N-DMS,G3056,Colossians 1,51
τῆς,of,Art-GFS,G3588,Colossians 1,52
ἀληθείας,truth,N-GFS,G225,Colossians 1,53
τοῦ,the,Art-GNS,G3588,Colossians 1,54
εὐαγγελίου,gospel,N-GNS,G2098,Colossians 1,55
παρόντος,being present,V-PPA-GNS,G3918,Colossians 1,56
ὑμᾶς,you,PPro-A2P,G4771,Colossians 1,57
καθὼς,just as,Adv,G2531,Colossians 1,58
παντὶ,all,Adj-DMS,G3956,Colossians 1,59
κόσμῳ,world,N-DMS,G2889,Colossians 1,60
ἐστὶν,it is,V-PIA-3S,G1510,Colossians 1,61
καρποφορούμενον,bearing fruit,V-PPM-NNS,G2592,Colossians 1,62
αὐξανόμενον,increasing,V-PPM/P-NNS,G837,Colossians 1,63
ἀφ,from,Prep,G575,Colossians 1,64
ἧς,the,RelPro-GFS,G3739,Colossians 1,65
ἡμέρας,day,N-GFS,G2250,Colossians 1,66
ἠκούσατε,you heard,V-AIA-2P,G191,Colossians 1,67
ἐπέγνωτε,knew,V-AIA-2P,G1921,Colossians 1,68
χάριν,grace,N-AFS,G5485,Colossians 1,69
ἀληθείᾳ,truth,N-DFS,G225,Colossians 1,70
ἐμάθετε,you learned,V-AIA-2P,G3129,Colossians 1,71
Ἐπαφρᾶ,Epaphras,N-GMS,G1889,Colossians 1,72
ἀγαπητοῦ,beloved,Adj-GMS,G27,Colossians 1,73
συνδούλου,fellow bond-servant,N-GMS,G4889,Colossians 1,74
ὅς,who,RelPro-NMS,G3739,Colossians 1,75
ἐστιν,is,V-PIA-3S,G1510,Colossians 1,76
πιστὸς,faithful,Adj-NMS,G4103,Colossians 1,77
ὑπὲρ,on behalf of,Prep,G5228,Colossians 1,78
ἡμῶν,us,PPro-G1P,G1473,Colossians 1,79
διάκονος,a servant,N-NMS,G1249,Colossians 1,80
δηλώσας,having made known,V-APA-NMS,G1213,Colossians 1,81
ἡμῖν,to us,PPro-D1P,G1473,Colossians 1,82
Πνεύματι,the Spirit,N-DNS,G4151,Colossians 1,83
Διὰ,Because of,Prep,G1223,Colossians 1,84
τοῦτο,this,DPro-ANS,G3778,Colossians 1,85
ἡμεῖς,we,PPro-N1P,G1473,Colossians 1,86
ἠκούσαμεν,we heard,V-AIA-1P,G191,Colossians 1,87
οὐ,not,Adv,G3756,Colossians 1,88
παυόμεθα,cease,V-PIM-1P,G3973,Colossians 1,89
αἰτούμενοι,asking,V-PPM-NMP,G154,Colossians 1,90
ἵνα,that,Conj,G2443,Colossians 1,91
πληρωθῆτε,you may be filled with,V-ASP-2P,G4137,Colossians 1,92
ἐπίγνωσιν,knowledge,N-AFS,G1922,Colossians 1,93
αὐτοῦ,of Him,PPro-GM3S,G846,Colossians 1,94
πάσῃ,all,Adj-DFS,G3956,Colossians 1,95
σοφίᾳ,wisdom,N-DFS,G4678,Colossians 1,96
συνέσει,understanding,N-DFS,G4907,Colossians 1,97
πνευματικῇ,spiritual,Adj-DFS,G4152,Colossians 1,98
περιπατῆσαι,to walk,V-ANA,G4043,Colossians 1,99
ἀξίως,worthily,Adv,G516,Colossians 1,100
πᾶσαν,all,Adj-AFS,G3956,Colossians 1,101
ἀρεσκείαν,pleasing,N-AFS,G699,Colossians 1,102
παντὶ,every,Adj-DNS,G3956,Colossians 1,103
ἔργῳ,work,N-DNS,G2041,Colossians 1,104
ἀγαθῷ,good,Adj-DNS,G18,Colossians 1,105
καρποφοροῦντες,bringing forth fruit,V-PPA-NMP,G2592,Colossians 1,106
αὐξανόμενοι,growing,V-PPM/P-NMP,G837,Colossians 1,107
τῇ,in the,Art-DFS,G3588,Colossians 1,108
ἐπιγνώσει,knowledge,N-DFS,G1922,Colossians 1,109
δυνάμει,power,N-DFS,G1411,Colossians 1,110
δυναμούμενοι,being strengthened,V-PPM/P-NMP,G1412,Colossians 1,111
κατὰ,according to,Prep,G2596,Colossians 1,112
τὸ,the,Art-ANS,G3588,Colossians 1,113
κράτος,might,N-ANS,G2904,Colossians 1,114
δόξης,glorious,N-GFS,G1391,Colossians 1,115
ὑπομονὴν,endurance,N-AFS,G5281,Colossians 1,116
μακροθυμίαν,patience,N-AFS,G3115,Colossians 1,117
μετὰ,with,Prep,G3326,Colossians 1,118
χαρᾶς,joy,N-GFS,G5479,Colossians 1,119
εὐχαριστοῦντες,giving thanks,V-PPA-NMP,G2168,Colossians 1,120
ἱκανώσαντι,having qualified,V-APA-DMS,G2427,Colossians 1,121
μερίδα,share,N-AFS,G3310,Colossians 1,122
κλήρου,inheritance,N-GMS,G2819,Colossians 1,123
τῶν,of the,Art-GMP,G3588,Colossians 1,124
ἁγίων,saints,Adj-GMP,G40,Colossians 1,125
τῷ,the,Art-DNS,G3588,Colossians 1,126
φωτί,light,N-DNS,G5457,Colossians 1,127
ὃς,who,RelPro-NMS,G3739,Colossians 1,128
ἐρρύσατο,has delivered,V-AIM-3S,G4506,Colossians 1,129
ἡμᾶς,us,PPro-A1P,G1473,Colossians 1,130
ἐκ,from,Prep,G1537,Colossians 1,131
ἐξουσίας,dominion,N-GFS,G1849,Colossians 1,132
σκότους,of darkness,N-GNS,G4655,Colossians 1,133
μετέστησεν,transferred us,V-AIA-3S,G3179,Colossians 1,134
βασιλείαν,kingdom,N-AFS,G932,Colossians 1,135
Υἱοῦ,Son,N-GMS,G5207,Colossians 1,136
ἀγάπης,beloved,N-GFS,G26,Colossians 1,137
ᾧ,whom,RelPro-DMS,G3739,Colossians 1,138
ἔχομεν,we have,V-PIA-1P,G2192,Colossians 1,139
ἀπολύτρωσιν,redemption,N-AFS,G629,Colossians 1,140
ἄφεσιν,forgiveness,N-AFS,G859,Colossians 1,141
τῶν,-,Art-GFP,G3588,Colossians 1,142
ἁμαρτιῶν,of sins,N-GFP,G266,Colossians 1,143
Ὅς,He,RelPro-NMS,G3739,Colossians 1,144
εἰκὼν,the image,N-NFS,G1504,Colossians 1,145
ἀοράτου,invisible,Adj-GMS,G517,Colossians 1,146
πρωτότοκος,the firstborn,Adj-NMS,G4416,Colossians 1,147
πάσης,over all,Adj-GFS,G3956,Colossians 1,148
κτίσεως,creation,N-GFS,G2937,Colossians 1,149
ὅτι,because,Conj,G3754,Colossians 1,150
αὐτῷ,Him,PPro-DM3S,G846,Colossians 1,151
ἐκτίσθη,were created,V-AIP-3S,G2936,Colossians 1,152
τὰ,-,Art-NNP,G3588,Colossians 1,153
