hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
סְמָדַ֖ר,H5563,sə·mā·ḏar,the tender grapes,N‑ms,H5563,Song of Songs,2,228,20
הַמַּדְרֵגָ֔ה,H4095,"ham·maḏ·rê·ḡāh,",of the cliff,Art | N‑fs,H4095,Song of Songs,2,239,20
עָרֵ֖ב,H6156,‘ā·rêḇ,[is] sweet,Adj‑ms,H6156,Song of Songs,2,248,20
בָֽתֶר׃,H1335,ḇā·ṯer.,of Bether,N‑ms,H1335,Song of Songs,2,274,20
אַבְקַ֥ת,H81,’aḇ·qaṯ,fragrant powders,N‑fsc,H81,Song of Songs,3,346,20
רְפִידָת֣וֹ,H7507,rə·p̄î·ḏā·ṯōw,Its support,N‑fsc | 3ms,H7507,Song of Songs,3,372,20
מֶרְכָּב֖וֹ,H4817,mer·kā·ḇōw,Its seat,N‑msc | 3ms,H4817,Song of Songs,3,374,20
רָצ֣וּף,H7528,rā·ṣūp̄,paved,V‑Qal‑QalPassPrtcpl‑ms,H7528,Song of Songs,3,377,20
חֲתֻנָּת֔וֹ,H2861,"ḥă·ṯun·nā·ṯōw,",of his wedding,N‑fsc | 3ms,H2861,Song of Songs,3,390,20
שֶׁגָּלְשׁ֖וּ,H1570,šeg·gā·lə·šū,Going down,Pro‑r | V‑Qal‑Perf‑3cp,H1570,Song of Songs,4,405,20
הַקְּצוּב֔וֹת,H7094,"haq·qə·ṣū·ḇō·wṯ,",shorn,Art | V‑Qal‑QalPassPrtcpl‑fp,H7094,Song of Songs,4,409,20
הָרַחְצָ֑ה,H7367,hā·raḥ·ṣāh;,the washing,Art | N‑fs,H7367,Song of Songs,4,412,20
מַתְאִימ֔וֹת,H8382,"maṯ·’î·mō·wṯ,",bears twins,V‑Hifil‑Prtcpl‑fp,H8382,Song of Songs,4,414,20
רַקָּתֵ֔ךְ,H7541,"raq·qā·ṯêḵ,",Your temples,N‑fsc | 2fs,H7541,Song of Songs,4,423,20
לְתַלְפִּיּ֑וֹת,H8530,lə·ṯal·pî·yō·wṯ;,for an armory,Prep‑l | N‑fp,H8530,Song of Songs,4,429,20
שִׁלְטֵ֥י,H7982,šil·ṭê,shields,N‑mpc,H7982,Song of Songs,4,435,20
תְּאוֹמֵ֣י,H8380,tə·’ō·w·mê,Twins,N‑mpc,H8380,Song of Songs,4,440,20
צְבִיָּ֑ה,H6646,ṣə·ḇî·yāh;,of a gazelle,N‑fs,H6646,Song of Songs,4,441,20
אֲמָנָ֗ה,H549,"’ă·mā·nāh,",of Abanah,N‑proper‑fs,H549,Song of Songs,4,466,20
שְׂנִיר֙,H8149,śə·nîr,of Senir,N‑proper‑fs,H8149,Song of Songs,4,468,20
יָּפ֥וּ,H3302,yā·p̄ū,fair is,V‑Qal‑Perf‑3cp,H3302,Song of Songs,4,482,20
נָע֖וּל,H5274,nā·‘ūl,enclosed,V‑Qal‑QalPassPrtcpl‑ms,H5274,Song of Songs,4,505,20
מְגָדִ֑ים,H4022,mə·ḡā·ḏîm;,pleasant,N‑mp,H4022,Song of Songs,4,516,20
וְכַרְכֹּ֗ם,H3750,"wə·ḵar·kōm,",and saffron,Conj‑w | N‑ms,H3750,Song of Songs,4,520,20
דוֹפֵ֗ק,H1849,"ḏō·w·p̄êq,",He knocks,V‑Qal‑Prtcpl‑ms,H1849,Song of Songs,5,578,20
קְוֻּצּוֹתַ֖י‪‬,H6977,qəw·wuṣ·ṣō·w·ṯay,My locks,N‑fpc | 1cs,H6977,Song of Songs,5,587,20
