hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הַשָּׁ֑מֶשׁ,H8121,haš·šā·meš;,the sun,Art | N‑cs,H8121,Song of Songs,1,43,20
בְּנֵ֧י,H1121,bə·nê,sons,N‑mpc,H1121,Song of Songs,1,44,20
אִמִּ֣י,H517,’im·mî,of My mother,N‑fsc | 1cs,H517,Song of Songs,1,45,20
נִֽחֲרוּ־,H2787,ni·ḥă·rū-,were angry,V‑Nifal‑Perf‑3cp,H2787,Song of Songs,1,46,20
שָׂמֻ֙נִי֙,H7760,śā·mu·nî,they made me,V‑Qal‑Perf‑3cp | 1cs,H7760,Song of Songs,1,47,20
נֹטֵרָ֣ה,H5201,nō·ṭê·rāh,the keeper,V‑Qal‑Prtcpl‑fs,H5201,Song of Songs,1,48,20
אֶת־,H853,’eṯ-,of,DirObjM,H853,Song of Songs,1,49,20
הַכְּרָמִ֔ים,H3754,"hak·kə·rā·mîm,",the vineyards,Art | N‑mp,H3754,Song of Songs,1,50,20
כַּרְמִ֥י,H3754,kar·mî,vineyard,N‑msc | 1cs,H3754,Song of Songs,1,51,20
לֹ֥א,H3808,lō,not,Adv‑NegPrt,H3808,Song of Songs,1,52,20
נָטָֽרְתִּי׃,H5201,nā·ṭā·rə·tî.,[But] I have kept,V‑Qal‑Perf‑1cs,H5201,Song of Songs,1,53,20
שֶׁ֤אָהֲבָה֙,H157,še·’ā·hă·ḇāh,whom love,Pro‑r | V‑Qal‑Perf‑3fs,H157,Song of Songs,1,54,20
נַפְשִׁ֔י,H5315,"nap̄·šî,",I,N‑fsc | 1cs,H5315,Song of Songs,1,55,20
אֵיכָ֣ה,H349,’ê·ḵāh,where,Interjection,H349,Song of Songs,1,56,20
תִרְעֶ֔ה,H7462,"ṯir·‘eh,",you feed [your flock],V‑Qal‑Imperf‑2ms,H7462,Song of Songs,1,57,20
אֵיכָ֖ה,H349,’ê·ḵāh,where,Interjection,H349,Song of Songs,1,58,20
תַּרְבִּ֣יץ,H7257,tar·bîṣ,you make [it] rest,V‑Hifil‑Imperf‑2ms,H7257,Song of Songs,1,59,20
בַּֽצָּהֳרָ֑יִם,H6672,baṣ·ṣā·ho·rā·yim;,at noon,"Prep‑b, Art | N‑mp",H6672,Song of Songs,1,60,20
שַׁלָּמָ֤ה,H4100,šal·lā·māh,for why,Pr | Interrog,H4100,Song of Songs,1,61,20
אֶֽהְיֶה֙,H1961,’eh·yeh,should I be,V‑Qal‑Imperf‑1cs,H1961,Song of Songs,1,62,20
כְּעֹ֣טְיָ֔ה,H5844,"kə·‘ō·ṭə·yāh,",as one who veils herself,Prep‑k | V‑Qal‑Prtcpl‑fs,H5844,Song of Songs,1,63,20
עַ֖ל,H5921,‘al,by,Prep,H5921,Song of Songs,1,64,20
עֶדְרֵ֥י,H5739,‘eḏ·rê,the flocks,N‑mpc,H5739,Song of Songs,1,65,20
חֲבֵרֶֽיךָ׃,H2270,ḥă·ḇê·re·ḵā.,of your companions,N‑mpc | 2ms,H2270,Song of Songs,1,66,20
לֹ֤א,H3808,lō,not,Adv‑NegPrt,H3808,Song of Songs,1,67,20
תֵדְעִי֙,H3045,ṯê·ḏə·‘î,do know,V‑Qal‑Imperf‑2fs,H3045,Song of Songs,1,68,20
הַיָּפָ֖ה,H3303,hay·yā·p̄āh,fairest,Art | Adj‑fs,H3303,Song of Songs,1,69,20
בַּנָּשִׁ֑ים,H802,ban·nā·šîm;,among women,"Prep‑b, Art | N‑fp",H802,Song of Songs,1,70,20
צְֽאִי־,H3318,ṣə·’î-,Follow,V‑Qal‑Imp‑fs,H3318,Song of Songs,1,71,20
בְּעִקְבֵ֣י,H6119,bə·‘iq·ḇê,in the footsteps,Prep‑b | N‑mpc,H6119,Song of Songs,1,72,20
הַצֹּ֗אן,H6629,"haṣ·ṣōn,",of the flock,Art | N‑cs,H6629,Song of Songs,1,73,20
וּרְעִי֙,H7462,ū·rə·‘î,and feed,Conj‑w | V‑Qal‑Imp‑fs,H7462,Song of Songs,1,74,20
אֶת־,H853,’eṯ-,-,DirObjM,H853,Song of Songs,1,75,20
גְּדִיֹּתַ֔יִךְ,H1429,"gə·ḏî·yō·ṯa·yiḵ,",your little goats,N‑fpc | 2fs,H1429,Song of Songs,1,76,20
עַ֖ל,H5921,‘al,Beside,Prep,H5921,Song of Songs,1,77,20
מִשְׁכְּנ֥וֹת,H4908,miš·kə·nō·wṯ,tents,N‑mpc,H4908,Song of Songs,1,78,20
הָרֹעִֽים׃,H7462,hā·rō·‘îm.,the shepherds',Art | V‑Qal‑Prtcpl‑mp,H7462,Song of Songs,1,79,20
בְּרִכְבֵ֣י,H7393,bə·riḵ·ḇê,among chariots,Prep‑b | N‑mpc,H7393,Song of Songs,1,80,20
פַרְעֹ֔ה,H6547,"p̄ar·‘ōh,",Of Pharaoh,N‑proper‑ms,H6547,Song of Songs,1,81,20
דִּמִּיתִ֖יךְ,H1819,dim·mî·ṯîḵ,I have compared you,V‑Piel‑Perf‑1cs | 2fs,H1819,Song of Songs,1,82,20
רַעְיָתִֽי׃,H7474,ra‘·yā·ṯî.,my love,N‑fsc | 1cs,H7474,Song of Songs,1,83,20
לְחָיַ֙יִךְ֙,H3895,lə·ḥā·ya·yiḵ,Your cheeks,N‑fdc | 2fs,H3895,Song of Songs,1,84,20
בַּתֹּרִ֔ים,H8447,"bat·tō·rîm,",with ornaments,"Prep‑b, Art | N‑mp",H8447,Song of Songs,1,85,20
צַוָּארֵ֖ךְ,H6677,ṣaw·wā·rêḵ,Your neck,N‑msc | 2fs,H6677,Song of Songs,1,86,20
בַּחֲרוּזִֽים׃,H2737,ba·ḥă·rū·zîm.,with chains [of gold],"Prep‑b, Art | N‑mp",H2737,Song of Songs,1,87,20
זָהָב֙,H2091,zā·hāḇ,of gold,N‑ms,H2091,Song of Songs,1,88,20
נַעֲשֶׂה־,H6213,na·‘ă·śeh-,we will make,V‑Qal‑Imperf‑1cp,H6213,Song of Songs,1,89,20
עִ֖ם,H5973,‘im,with,Prep,H5973,Song of Songs,1,90,20
נְקֻדּ֥וֹת,H5351,nə·qud·dō·wṯ,studs,N‑fpc,H5351,Song of Songs,1,91,20
הַכָּֽסֶף׃,H3701,hak·kā·sep̄.,of silver,Art | N‑ms,H3701,Song of Songs,1,92,20
שֶׁ֤הַמֶּ֙לֶךְ֙,H4428,še·ham·me·leḵ,the king [is],"Pro‑r, Art | N‑ms",H4428,Song of Songs,1,93,20
בִּמְסִבּ֔וֹ,H4524,"bim·sib·bōw,",at his table,Prep‑b | N‑msc | 3ms,H4524,Song of Songs,1,94,20
נִרְדִּ֖י,H5373,nir·dî,My spikenard,N‑msc | 1cs,H5373,Song of Songs,1,95,20
נָתַ֥ן,H5414,nā·ṯan,sends forth,V‑Qal‑Perf‑3ms,H5414,Song of Songs,1,96,20
רֵיחֽוֹ׃,H7381,rê·ḥōw.,its fragrance,N‑msc | 3ms,H7381,Song of Songs,1,97,20
הַמֹּ֤ר ׀,H4753,ham·mōr,of myrrh,Art | N‑ms,H4753,Song of Songs,1,98,20
דּוֹדִי֙,H1730,dō·w·ḏî,[is] my beloved,N‑msc | 1cs,H1730,Song of Songs,1,99,20
בֵּ֥ין,H996,bên,between,Prep,H996,Song of Songs,1,100,20
שָׁדַ֖י,H7699,šā·ḏay,my breasts,N‑mdc | 1cs,H7699,Song of Songs,1,101,20
יָלִֽין׃,H3885,yā·lîn.,that lies all night,V‑Qal‑Imperf‑3ms,H3885,Song of Songs,1,102,20
הַכֹּ֤פֶר ׀,H3724,hak·kō·p̄er,of henna [blooms],Art | N‑ms,H3724,Song of Songs,1,103,20
דּוֹדִי֙,H1730,dō·w·ḏî,My beloved [is],N‑msc | 1cs,H1730,Song of Songs,1,104,20
בְּכַרְמֵ֖י,H3754,bə·ḵar·mê,in the vineyards,Prep‑b | N‑mpc,H3754,Song of Songs,1,105,20
גֶּֽדִי׃,H5872,ge·ḏî.,En Gedi,N‑proper‑fs,H5872,Song of Songs,1,106,20
יָפָה֙,H3303,yā·p̄āh,fair,Adj‑fs,H3303,Song of Songs,1,107,20
רַעְיָתִ֔י,H7474,"ra‘·yā·ṯî,",my love,N‑fsc | 1cs,H7474,Song of Songs,1,108,20
הִנָּ֥ךְ,H2005,hin·nāḵ,behold you [are],Interjection | 2fs,H2005,Song of Songs,1,109,20
יָפָ֖ה,H3303,yā·p̄āh,fair,Adj‑fs,H3303,Song of Songs,1,110,20
עֵינַ֥יִךְ,H5869,‘ê·na·yiḵ,You [have] eyes,N‑cdc | 2fs,H5869,Song of Songs,1,111,20
יוֹנִֽים׃,H3123,yō·w·nîm.,dove's,N‑fp,H3123,Song of Songs,1,112,20
יָפֶ֤ה,H3303,yā·p̄eh,handsome,Adj‑ms,H3303,Song of Songs,1,113,20
דוֹדִי֙,H1730,ḏō·w·ḏî,my beloved,N‑msc | 1cs,H1730,Song of Songs,1,114,20
אַ֣ף,H637,’ap̄,Yes,Conj,H637,Song of Songs,1,115,20
